Sequence,LinkerID,Occurrences
D2CGT9,L-5,1
D2CGU0,L-5,1
D2CGU1,L-8,1
D2CH22,L-5,2
D2CH22,L-33,1
E9JGS8,L-1,1
E9JGS8,L-47,1
E9JGT0,L-36,1
E9JGT1,L-36,1
I3QHF0,L-21,1
I3QHF0,L-48,1
I3QHF1,L-21,1
I3QHF1,L-48,1
I6Q7H6,L-21,1
I6Q7H6,L-48,1
J7EN93,L-3,1
J7EN93,L-47,1
J7EN94,L-3,2
J7EN94,L-47,1
J7ENS8,L-13,1
J7ENS8,L-47,1
J7EQ13,L-13,1
J7EQ13,L-47,1
J7EQ14,L-13,1
J7EQ14,L-47,1
J7EQ45,L-3,1
J7EQ46,L-3,1
M0ZPU4,L-56,1
M0ZPU7,L-56,2
M0ZZR6,L-3,1
M0ZZR6,L-47,1
M0ZZR6,L-70,1
M0ZZR6,L-71,1
M1AJ80,L-65,1
M1B8F7,L-1,1
M1B8F7,L-16,1
M1B8F8,L-13,1
M1B8F8,L-47,1
M1B8F8,L-68,1
M1B8F8,L-69,1
M1B8F9,L-3,1
M1B8F9,L-47,1
M1B8F9,L-71,1
M1B8F9,L-75,1
M1C853,L-56,1
M1C854,L-56,1
M1C870,L-56,1
M1D0E9,L-1,1
M1D0E9,L-47,1
M1DJV3,L-16,1
M1DJV3,L-45,1
M1DJV3,L-73,1
M1DJV3,L-77,1
O49146,L-5,2
O49146,L-33,1
O49146,L-42,1
O49146,L-8,1
O82735,L-13,1
O82735,L-47,1
P01078,L-17,1
P01079,L-3,1
P01080,L-13,1
P01080,L-47,1
P05119,L-21,1
P05119,L-48,1
P56615,L-5,1
P84813,L-13,1
Q00782,L-14,1
Q00782,L-47,1
Q1WL29,L-1,5
Q1WL29,L-25,3
Q1WL29,L-26,2
Q1WL29,L-29,1
Q1WL30,L-1,5
Q1WL30,L-25,3
Q1WL30,L-26,2
Q1WL30,L-29,1
Q1WL31,L-1,5
Q1WL31,L-25,5
Q1WL31,L-26,3
Q1WL31,L-20,1
Q1WL31,L-3,1
Q1WL35,L-1,5
Q1WL35,L-25,5
Q1WL35,L-26,3
Q1WL35,L-20,1
Q1WL35,L-3,1
Q1WL36,L-1,6
Q1WL36,L-25,5
Q1WL36,L-26,2
Q1WL37,L-1,1
Q1WL37,L-25,1
Q1WL37,L-29,1
Q1WL38,L-1,6
Q1WL38,L-29,4
Q1WL38,L-27,2
Q1WL38,L-25,1
Q1WL39,L-25,6
Q1WL39,L-1,5
Q1WL40,L-25,5
Q1WL40,L-1,4
Q1WL40,L-3,1
Q1WL40,L-32,1
Q1WL41,L-25,3
Q1WL41,L-1,2
Q1WL41,L-27,1
Q1WL41,L-3,1
Q1WL41,L-30,1
Q1WL41,L-7,1
Q1WL42,L-1,3
Q1WL42,L-25,2
Q1WL42,L-27,1
Q1WL42,L-3,1
Q1WL42,L-30,1
Q1WL42,L-34,1
Q1WL43,L-25,6
Q1WL43,L-1,5
Q1WL44,L-25,6
Q1WL44,L-1,5
Q1WL45,L-1,4
Q1WL45,L-25,3
Q1WL45,L-39,1
Q1WL45,L-41,1
Q1WL45,L-43,1
Q1WL45,L-5,1
Q1WL46,L-25,5
Q1WL46,L-1,4
Q1WL47,L-1,4
Q1WL47,L-25,4
Q1WL47,L-43,1
Q1WL48,L-1,4
Q1WL48,L-25,3
Q1WL48,L-43,1
Q1WL48,L-61,1
Q1WL49,L-1,5
Q1WL49,L-25,5
Q1WL49,L-43,1
Q1WL50,L-1,3
Q1WL50,L-25,3
Q1WL50,L-43,1
Q1WL51,L-25,2
Q1WL51,L-1,1
Q2TU74,L-49,1
Q2XVY5,L-25,6
Q2XVY5,L-1,5
Q32YL3,L-47,1
Q3S483,L-13,1
Q3S483,L-47,1
Q3S485,L-13,1
Q3S485,L-47,1
Q3S493,L-3,1
Q3S493,L-52,1
Q3SBE6,L-25,4
Q3SBE6,L-1,3
Q40378,L-25,6
Q40378,L-1,3
Q40378,L-3,2
Q40561,L-24,1
Q40561,L-3,1
Q40561,L-55,1
Q40561,L-78,1
Q41435,L-3,1
Q41488,L-13,1
Q41488,L-47,1
Q41489,L-3,1
Q43502,L-3,1
Q43502,L-47,1
Q43502,L-71,1
Q43502,L-75,1
Q43652,L-18,1
Q43652,L-46,1
Q43710,L-66,3
Q43710,L-58,1
Q4U5Z3,L-5,3
Q4U5Z3,L-33,2
Q4U5Z4,L-5,3
Q4U5Z4,L-33,2
Q4U5Z5,L-5,3
Q4U5Z5,L-33,2
Q4U5Z5,L-42,1
Q4U5Z5,L-8,1
Q4Z8K2,L-5,3
Q4Z8K2,L-33,2
Q4Z8K3,L-5,3
Q4Z8K3,L-33,2
Q4ZIQ2,L-5,3
Q4ZIQ2,L-33,2
Q4ZIQ2,L-42,1
Q4ZIQ2,L-8,1
Q4ZIQ3,L-5,3
Q4ZIQ3,L-33,2
Q4ZIQ3,L-42,1
Q4ZIQ3,L-8,1
Q4ZIQ4,L-5,3
Q4ZIQ4,L-33,2
Q4ZIQ4,L-42,1
Q4ZIQ4,L-8,1
Q4ZIQ5,L-5,3
Q4ZIQ5,L-33,2
Q4ZIQ5,L-42,1
Q4ZIQ5,L-8,1
Q4ZIQ6,L-5,3
Q4ZIQ6,L-33,2
Q5YLI5,L-25,6
Q5YLI5,L-1,5
Q6H238,L-1,3
Q6H238,L-27,2
Q6H238,L-6,2
Q6H238,L-29,1
Q6H3X6,L-21,1
Q6H3X6,L-48,1
Q6JKN9,L-3,1
Q6JKN9,L-47,1
Q7M1P5,L-1,1
Q7M222,L-65,1
Q84L56,L-3,1
Q84L56,L-47,1
Q84LJ9,L-25,7
Q84LJ9,L-1,6
Q8W2K1,L-3,1
Q8W2K1,L-47,1
Q8W2K1,L-78,1
Q8W2K6,L-49,2
Q8W2K6,L-1,1
Q9M514,L-15,1
Q9M514,L-5,1
Q9SDL4,L-5,3
Q9SDL4,L-33,2
Q9SDW7,L-27,3
Q9SDW7,L-1,2
Q9SDW7,L-25,2
Q9SDW7,L-3,2
Q9SDW7,L-2,1
Q9SDW7,L-40,1
Q9SDW8,L-25,4
Q9SDW8,L-2,3
Q9SDW8,L-27,3
Q9SDW8,L-1,2
Q9SDW8,L-3,2
Q9SDW8,L-40,1
Q9SQ77,L-25,4
Q9SQ77,L-1,2
Q9SQ77,L-3,1
T1PZ63,L-42,1
T1PZ63,L-5,1
T1PZ63,L-8,1
T1PZ64,L-5,4
T1PZ64,L-33,3
T1PZ65,L-5,3
T1PZ65,L-33,2
T1PZ68,L-5,3
T1PZ68,L-33,2
T1PZ72,L-5,3
T1PZ72,L-33,2
T1PZ73,L-5,3
T1PZ73,L-33,2
T1PZ75,L-33,2
T1PZ75,L-5,2
T1PZ75,L-9,1
T1PZ76,L-33,2
T1PZ76,L-5,2
T1PZ76,L-9,1
T1PZ78,L-5,3
T1PZ78,L-33,2
T1PZ84,L-5,2
T1PZ84,L-57,1
T1PZ85,L-5,4
T1PZ85,L-33,3
T1PZ86,L-5,3
T1PZ86,L-33,2
T1PZ88,L-12,1
T1PZ88,L-33,1
T1PZ88,L-5,1
T1PZ89,L-5,3
T1PZ89,L-33,2
T1PZ90,L-5,3
T1PZ90,L-33,2
T1PZ91,L-5,3
T1PZ91,L-33,2
T1PZA9,L-5,2
T1PZA9,L-33,1
T1PZB0,L-5,2
T1PZB1,L-5,3
T1PZB1,L-33,1
T1PZB1,L-38,1
T1PZB2,L-5,3
T1PZB2,L-33,2
T1PZB3,L-5,3
T1PZB3,L-33,2
T1PZB4,L-5,4
T1PZB4,L-33,3
T1PZB5,L-5,3
T1PZB5,L-33,2
T1PZB6,L-5,3
T1PZB6,L-33,2
T1PZB7,L-5,3
T1PZB7,L-33,1
T1PZB7,L-51,1
T1PZE6,L-33,2
T1PZE6,L-5,2
T1PZE8,L-5,2
T1PZE8,L-33,1
T1PZF0,L-5,3
T1PZF0,L-33,2
T1PZF2,L-5,3
T1PZF2,L-33,2
T1PZF5,L-5,3
T1PZF5,L-33,2
T1PZF6,L-5,3
T1PZF6,L-33,2
T1PZF6,L-42,1
T1PZF6,L-8,1
T1PZF7,L-5,3
T1PZF7,L-33,2
T1PZF8,L-5,3
T1PZF8,L-33,2
T1PZF9,L-33,2
T1PZF9,L-5,2
T1PZF9,L-8,1
T1PZJ5,L-5,2
T1PZJ5,L-33,1
T1PZJ7,L-5,3
T1PZJ7,L-33,2
T1PZJ8,L-5,3
T1PZJ8,L-33,2
T1PZK0,L-33,2
T1PZK0,L-5,2
T1PZK0,L-8,1
T1PZK2,L-33,2
T1PZK2,L-5,2
T1PZK2,L-10,1
T1PZK4,L-33,2
T1PZK4,L-5,2
T1PZK4,L-19,1
T1PZK7,L-5,3
T1PZK7,L-33,2
T1PZL0,L-5,3
T1PZL0,L-33,2
