Organism,CysteineCount,NumberOfSequences
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),12,1
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),14,1
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),22,1
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),38,1
Solanum melongena (Eggplant) (Aubergine),8,1
Solanum nigrum (Black nightshade),16,2
Solanum nigrum (Black nightshade),17,1
Solanum nigrum (Black nightshade),23,1
Solanum phureja,16,1
Solanum tuberosum (Potato),16,21
Solanum tuberosum (Potato),14,9
Solanum tuberosum (Potato),8,8
Solanum tuberosum (Potato),24,4
Solanum tuberosum (Potato),9,3
Solanum tuberosum (Potato),13,2
Solanum tuberosum (Potato),7,1
Solanum tuberosum (Potato),15,1
Solanum tuberosum (Potato),17,1
Solanum tuberosum (Potato),18,1
Solanum tuberosum (Potato),25,1
Sorghum bicolor (Sorghum) (Sorghum vulgare),9,2
Sorghum bicolor (Sorghum) (Sorghum vulgare),10,1
Spinacia oleracea (Spinach),8,1
Trema orientale (Charcoal tree) (Celtis orientalis),8,1
Triticum aestivum (Wheat),9,2
Triticum aestivum (Wheat),11,1
Triticum turgidum subsp. durum (Durum wheat) (Triticum durum),9,1
Triticum urartu (Red wild einkorn) (Crithodium urartu),9,1
Vitis vinifera (Grape),8,2
Vitis vinifera (Grape),9,1
Zea mays (Maize),9,2
