LinkerID,Sequences,Occurrences
L-3,Q1WL35,1
L-3,Q1WL40,1
L-3,Q1WL41,1
L-3,Q1WL42,1
L-3,Q3S493,1
L-3,Q40561,1
L-3,Q41435,1
L-3,Q41489,1
L-3,Q43502,1
L-3,Q6JKN9,1
L-3,Q84L56,1
L-3,Q8W2K1,1
L-3,Q9SQ77,1
L-30,A0A1S4A0N1,1
L-30,B3F0C1,1
L-30,Q1WL41,1
L-30,Q1WL42,1
L-31,A0A1S3YZT7,1
L-32,Q1WL40,1
L-33,A0A2G3A0S4,4
L-33,T1PZ64,3
L-33,T1PZ85,3
L-33,T1PZB4,3
L-33,A0A097J9B6,2
L-33,A0A097J9C0,2
L-33,A0A097J9C1,2
L-33,A0A097J9C5,2
L-33,A0A097J9D7,2
L-33,A0A1U8G7B9,2
L-33,A0A2G2X8V0,2
L-33,A0A2G3AW63,2
L-33,Q4U5Z3,2
L-33,Q4U5Z4,2
L-33,Q4U5Z5,2
L-33,Q4Z8K2,2
L-33,Q4Z8K3,2
L-33,Q4ZIQ2,2
L-33,Q4ZIQ3,2
L-33,Q4ZIQ4,2
L-33,Q4ZIQ5,2
L-33,Q4ZIQ6,2
L-33,Q9SDL4,2
L-33,T1PZ65,2
L-33,T1PZ68,2
L-33,T1PZ72,2
L-33,T1PZ73,2
L-33,T1PZ75,2
L-33,T1PZ76,2
L-33,T1PZ78,2
L-33,T1PZ86,2
L-33,T1PZ89,2
L-33,T1PZ90,2
L-33,T1PZ91,2
L-33,T1PZB2,2
L-33,T1PZB3,2
L-33,T1PZB5,2
L-33,T1PZB6,2
L-33,T1PZE6,2
L-33,T1PZF0,2
L-33,T1PZF2,2
L-33,T1PZF5,2
L-33,T1PZF6,2
L-33,T1PZF7,2
L-33,T1PZF8,2
L-33,T1PZF9,2
L-33,T1PZJ7,2
L-33,T1PZJ8,2
L-33,T1PZK0,2
L-33,T1PZK2,2
L-33,T1PZK4,2
L-33,T1PZK7,2
L-33,T1PZL0,2
L-33,A0A097J9D3,1
L-33,A0A2G2V3L7,1
L-33,A0A2G3A0U2,1
L-33,A0A2G3AT14,1
L-33,D2CGQ2,1
L-33,D2CGT3,1
L-33,D2CGT4,1
L-33,D2CGT5,1
L-33,D2CGT6,1
L-33,D2CGT7,1
L-33,D2CH22,1
L-33,O49146,1
L-33,T1PZ88,1
L-33,T1PZA9,1
L-33,T1PZB1,1
L-33,T1PZB7,1
L-33,T1PZE8,1
L-33,T1PZJ5,1
L-34,Q1WL42,1
L-35,A0A2G3AT14,1
L-36,E9JGT0,1
L-36,E9JGT1,1
L-37,A0A097J9D3,1
L-37,A0A2G3A0U2,1
L-38,T1PZB1,1
L-39,A0A1S3YZT7,1
L-39,A0A1U7XTK4,1
L-39,Q1WL45,1
L-4,A0A1S4CPA1,3
L-4,A0A1S4CNP7,2
L-4,A0A1S4CNR9,2
L-40,Q9SDW7,1
L-40,Q9SDW8,1
L-41,Q1WL45,1
L-42,A0A2G2V3L7,2
L-42,A0A2G3A0S4,1
L-42,A0A2G3AT14,1
L-42,A0A2G3AW63,1
L-42,D2CGT8,1
L-42,O49146,1
L-42,Q4U5Z5,1
L-42,Q4ZIQ2,1
L-42,Q4ZIQ3,1
L-42,Q4ZIQ4,1
L-42,Q4ZIQ5,1
L-42,T1PZ63,1
L-42,T1PZF6,1
L-43,Q1WL45,1
L-43,Q1WL47,1
L-43,Q1WL48,1
L-43,Q1WL49,1
L-43,Q1WL50,1
L-44,A0A097J9C9,1
L-44,A0A097J9D4,1
L-44,A0A097J9D5,1
L-44,A0A097J9D8,1
L-44,A0A1U8FXN6,1
L-44,A0A2G2V3L6,1
L-44,A0A2G2XU31,1
L-45,A0A3Q7FEJ3,1
L-45,M1DJV3,1
L-46,A0A1U8GHX6,1
L-46,A0A2G2X8Q0,1
L-46,A0A2G3A0T9,1
L-46,A0A2G3AW51,1
L-46,A0A3Q7FH23,1
L-46,Q43652,1
L-47,A0A023UDB8,1
L-47,A0A097H1A1,1
L-47,A0A097H1D6,1
L-47,A0A0V0GZD4,1
L-47,A0A0V0H1C2,1
L-47,A0A1X9QDN7,1
L-47,A0A1X9QDP7,1
L-47,A0A3Q7FH27,1
L-47,E9JGS8,1
L-47,J7EN93,1
L-47,J7EN94,1
L-47,J7ENS8,1
L-47,J7EQ13,1
L-47,J7EQ14,1
L-47,M0ZZR6,1
L-47,M1B8F8,1
L-47,M1B8F9,1
L-47,M1D0E9,1
L-47,O82735,1
L-47,P01080,1
L-47,Q00782,1
L-47,Q32YL3,1
L-47,Q3S483,1
L-47,Q3S485,1
L-47,Q41488,1
L-47,Q43502,1
L-47,Q6JKN9,1
L-47,Q84L56,1
L-47,Q8W2K1,1
L-48,I3QHF0,1
L-48,I3QHF1,1
L-48,I6Q7H6,1
L-48,P05119,1
L-48,Q6H3X6,1
L-49,Q8W2K6,2
L-49,Q2TU74,1
L-5,A0A2G3A0S4,5
L-5,A0A2G3AW63,4
L-5,T1PZ64,4
L-5,T1PZ85,4
L-5,T1PZB4,4
L-5,A0A097J9B6,3
L-5,A0A097J9C1,3
L-5,A0A097J9C5,3
L-5,A0A097J9D3,3
L-5,A0A1U8G7B9,3
L-5,A0A2G2X8V0,3
L-5,A0A2G3A0U2,3
L-5,Q4U5Z3,3
L-5,Q4U5Z4,3
L-5,Q4U5Z5,3
L-5,Q4Z8K2,3
L-5,Q4Z8K3,3
L-5,Q4ZIQ2,3
L-5,Q4ZIQ3,3
L-5,Q4ZIQ4,3
L-5,Q4ZIQ5,3
L-5,Q4ZIQ6,3
L-5,Q9SDL4,3
L-5,T1PZ65,3
L-5,T1PZ68,3
L-5,T1PZ72,3
L-5,T1PZ73,3
L-5,T1PZ78,3
L-5,T1PZ86,3
L-5,T1PZ89,3
L-5,T1PZ90,3
L-5,T1PZ91,3
L-5,T1PZB1,3
L-5,T1PZB2,3
L-5,T1PZB3,3
L-5,T1PZB5,3
L-5,T1PZB6,3
L-5,T1PZB7,3
L-5,T1PZF0,3
L-5,T1PZF2,3
L-5,T1PZF5,3
L-5,T1PZF6,3
L-5,T1PZF7,3
L-5,T1PZF8,3
L-5,T1PZJ7,3
L-5,T1PZJ8,3
L-5,T1PZK7,3
L-5,T1PZL0,3
L-5,A0A097J9C0,2
L-5,A0A097J9D7,2
L-5,A0A2G2V3L7,2
L-5,D2CGQ2,2
L-5,D2CGT3,2
L-5,D2CGT4,2
L-5,D2CGT5,2
L-5,D2CGT6,2
L-5,D2CGT7,2
L-5,D2CH22,2
L-5,O49146,2
L-5,T1PZ75,2
L-5,T1PZ76,2
L-5,T1PZ84,2
L-5,T1PZA9,2
L-5,T1PZB0,2
L-5,T1PZE6,2
L-5,T1PZE8,2
L-5,T1PZF9,2
L-5,T1PZJ5,2
L-5,T1PZK0,2
L-5,T1PZK2,2
L-5,T1PZK4,2
L-5,A0A097J9D1,1
L-5,A0A097J9D6,1
L-5,A0A2G2V3L6,1
L-5,A0A2G3AT14,1
L-5,A0A2G3AT15,1
L-5,D2CGT8,1
L-5,D2CGT9,1
L-5,D2CGU0,1
L-5,P56615,1
L-5,Q1WL45,1
L-5,Q9M514,1
L-5,T1PZ63,1
L-5,T1PZ88,1
L-50,A0A1S4A0N1,1
L-50,B3F0C1,1
L-51,T1PZB7,1
L-52,Q3S493,1
L-53,A0A2G2X8T6,1
L-53,A0A2G3AW67,1
L-54,A0A3Q7FEG3,1
L-54,A0A3Q7FH03,1
L-55,A0A075EZT7,1
L-55,A0A1J6JJ91,1
L-55,A0A1U7XB93,1
L-55,Q40561,1
L-56,M0ZPU7,2
L-56,A0A1J6JY14,1
L-56,A0A1S3YL26,1
L-56,A0A1S3YTB5,1
L-56,A0A1U7YPZ0,1
L-56,M0ZPU4,1
L-56,M1C853,1
L-56,M1C854,1
L-56,M1C870,1
L-57,T1PZ84,1
L-58,Q43710,1
L-6,Q6H238,2
L-61,Q1WL48,1
L-62,A0A3Q7IU74,1
L-64,A0A3Q7IU74,2
L-65,A0A1S3Z2Q3,2
L-65,A0A1S4BIG0,2
L-65,A0A1U7VHX6,2
L-65,M1AJ80,1
L-65,Q7M222,1
L-66,Q43710,3
L-67,A0A097J9C9,1
L-67,A0A097J9D4,1
L-67,A0A097J9D5,1
L-67,A0A097J9D8,1
L-67,A0A1U8FXN6,1
L-67,A0A2G2V3L6,1
L-67,A0A2G2XU31,1
L-67,A0A2G3AT01,1
L-68,A0A097J9C9,1
L-68,A0A097J9D4,1
L-68,A0A097J9D5,1
L-68,A0A097J9D8,1
L-68,A0A1U8FXN6,1
L-68,A0A2G2V3L6,1
L-68,A0A2G2XU31,1
L-68,A0A2G3AT01,1
L-68,M1B8F8,1
L-69,M1B8F8,1
L-7,Q1WL41,1
L-70,M0ZZR6,1
L-71,A0A3Q7FEG3,1
L-71,A0A3Q7FH27,1
L-71,M0ZZR6,1
L-71,M1B8F9,1
L-71,Q43502,1
L-72,A0A2G3A0X2,1
L-72,A0A2G3AW40,1
L-73,A0A0V0GWC2,1
L-73,A0A1U8GFH5,1
L-73,A0A2G3A0X2,1
L-73,A0A2G3AW40,1
L-73,M1DJV3,1
L-74,A0A3Q7FEG3,1
L-74,A0A3Q7FH03,1
L-75,A0A1U8GHX6,1
L-75,A0A2G2X8Q0,1
L-75,A0A2G3A0T9,1
L-75,A0A2G3AW51,1
L-75,A0A3Q7FH27,1
L-75,M1B8F9,1
L-75,Q43502,1
L-76,A0A1U8GFH5,1
L-77,A0A0V0GWC2,1
L-77,M1DJV3,1
L-78,A0A075EZT7,1
L-78,A0A1J6JJ91,1
L-78,A0A1U7XB93,1
L-78,Q40561,1
L-78,Q8W2K1,1
L-8,A0A2G2V3L7,1
L-8,A0A2G3A0S4,1
L-8,A0A2G3AT14,1
L-8,D2CGT8,1
L-8,D2CGU1,1
L-8,O49146,1
L-8,Q4U5Z5,1
L-8,Q4ZIQ2,1
L-8,Q4ZIQ3,1
L-8,Q4ZIQ4,1
L-8,Q4ZIQ5,1
L-8,T1PZ63,1
L-8,T1PZF6,1
L-8,T1PZF9,1
L-8,T1PZK0,1
L-9,A0A097J9D7,1
L-9,T1PZ75,1
L-9,T1PZ76,1
