,DomainID,OrganismID,Genus,Organism,C
98,IRD-582,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
99,IRD-583,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
100,IRD-675,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
101,IRD-41,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
102,IRD-266,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
103,IRD-292,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
104,IRD-419,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
105,IRD-428,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
106,IRD-354,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
107,IRD-681,981085,Morus,Morus notabilis,9
108,IRD-152,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
109,IRD-153,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
110,IRD-254,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
111,IRD-255,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
112,IRD-604,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
113,IRD-606,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
114,IRD-620,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
115,IRD-655,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
116,IRD-658,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
117,IRD-14,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
118,IRD-43,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
119,IRD-294,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
120,IRD-414,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
121,IRD-692,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
122,IRD-169,200315,Nicotiana,Nicotiana pauciflora,8
123,IRD-193,200315,Nicotiana,Nicotiana pauciflora,8
124,IRD-194,200315,Nicotiana,Nicotiana pauciflora,8
125,IRD-195,200315,Nicotiana,Nicotiana pauciflora,8
126,IRD-196,200315,Nicotiana,Nicotiana pauciflora,8
127,IRD-619,200315,Nicotiana,Nicotiana pauciflora,8
128,IRD-629,200315,Nicotiana,Nicotiana pauciflora,8
129,IRD-630,200315,Nicotiana,Nicotiana pauciflora,8
130,IRD-631,200315,Nicotiana,Nicotiana pauciflora,8
131,IRD-667,200315,Nicotiana,Nicotiana pauciflora,8
132,IRD-361,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
133,IRD-344,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
134,IRD-122,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
135,IRD-143,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
136,IRD-231,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
137,IRD-256,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
138,IRD-444,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
139,IRD-513,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
140,IRD-551,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
141,IRD-365,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
142,IRD-349,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
143,IRD-315,107243,Noccaea,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),8
144,IRD-30,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
145,IRD-68,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
146,IRD-283,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
147,IRD-472,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
148,IRD-503,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
149,IRD-438,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
150,IRD-347,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
151,IRD-323,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
152,IRD-35,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
153,IRD-131,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
154,IRD-319,80379,Capsicum,Capsicum chinense (Scotch bonnet) (Bonnet pepper),8
155,IRD-196,118704,Nicotiana,Nicotiana miersii,8
156,IRD-197,118704,Nicotiana,Nicotiana miersii,8
157,IRD-198,118704,Nicotiana,Nicotiana miersii,8
158,IRD-199,118704,Nicotiana,Nicotiana miersii,8
159,IRD-200,118704,Nicotiana,Nicotiana miersii,8
160,IRD-533,118704,Nicotiana,Nicotiana miersii,8
161,IRD-633,118704,Nicotiana,Nicotiana miersii,8
162,IRD-634,118704,Nicotiana,Nicotiana miersii,8
163,IRD-635,118704,Nicotiana,Nicotiana miersii,8
164,IRD-668,118704,Nicotiana,Nicotiana miersii,8
165,IRD-677,472368,Dorcoceras,Dorcoceras hygrometricum,8
166,IRD-251,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
167,IRD-605,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
168,IRD-150,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),3
169,IRD-199,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
170,IRD-480,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
171,IRD-360,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
172,IRD-327,22663,Punica,Punica granatum (Pomegranate),8
173,IRD-360,49451,Nicotiana,Nicotiana attenuata (Coyote tobacco),8
174,IRD-39,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
175,IRD-435,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
176,IRD-522,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
177,IRD-529,4096,Nicotiana,Nicotiana sylvestris (Wood tobacco) (South American tobacco),8
178,IRD-165,49451,Nicotiana,Nicotiana attenuata (Coyote tobacco),8
179,IRD-166,49451,Nicotiana,Nicotiana attenuata (Coyote tobacco),8
180,IRD-168,49451,Nicotiana,Nicotiana attenuata (Coyote tobacco),8
181,IRD-169,49451,Nicotiana,Nicotiana attenuata (Coyote tobacco),8
182,IRD-615,49451,Nicotiana,Nicotiana attenuata (Coyote tobacco),8
183,IRD-616,49451,Nicotiana,Nicotiana attenuata (Coyote tobacco),8
184,IRD-618,49451,Nicotiana,Nicotiana attenuata (Coyote tobacco),8
185,IRD-619,49451,Nicotiana,Nicotiana attenuata (Coyote tobacco),8
186,IRD-302,3983,Manihot,Manihot esculenta (Cassava) (Jatropha manihot),8
187,IRD-303,3983,Manihot,Manihot esculenta (Cassava) (Jatropha manihot),8
188,IRD-363,4555,Setaria,Setaria italica (Foxtail millet) (Panicum italicum),7
189,IRD-32,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
190,IRD-70,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
191,IRD-285,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
192,IRD-291,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
193,IRD-453,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
194,IRD-31,4113,Solanum,Solanum tuberosum (Potato),8
195,IRD-64,4113,Solanum,Solanum tuberosum (Potato),8
196,IRD-425,4113,Solanum,Solanum tuberosum (Potato),8
197,IRD-433,4113,Solanum,Solanum tuberosum (Potato),8
198,IRD-476,4113,Solanum,Solanum tuberosum (Potato),8
199,IRD-57,4113,Solanum,Solanum tuberosum (Potato),8
200,IRD-466,4113,Solanum,Solanum tuberosum (Potato),8
201,IRD-495,4113,Solanum,Solanum tuberosum (Potato),8
202,IRD-40,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
203,IRD-55,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
204,IRD-431,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
205,IRD-432,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
206,IRD-493,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
207,IRD-361,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
208,IRD-297,4113,Solanum,Solanum tuberosum (Potato),8
209,IRD-73,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
210,IRD-424,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
211,IRD-507,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
212,IRD-22,4113,Solanum,Solanum tuberosum (Potato),8
213,IRD-689,4113,Solanum,Solanum tuberosum (Potato),7
214,IRD-379,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
215,IRD-37,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
216,IRD-45,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
217,IRD-288,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
218,IRD-318,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
219,IRD-422,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
220,IRD-239,4113,Solanum,Solanum tuberosum (Potato),8
221,IRD-488,4113,Solanum,Solanum tuberosum (Potato),8
222,IRD-26,4108,Solanum,Solanum chacoense (Chaco potato),8
223,IRD-691,4108,Solanum,Solanum chacoense (Chaco potato),5
224,IRD-320,4113,Solanum,Solanum tuberosum (Potato),8
225,IRD-25,4113,Solanum,Solanum tuberosum (Potato),8
226,IRD-311,69181,Brassica,Brassica cretica (Mustard),8
227,IRD-340,4113,Solanum,Solanum tuberosum (Potato),8
228,IRD-341,4113,Solanum,Solanum tuberosum (Potato),8
229,IRD-378,4113,Solanum,Solanum tuberosum (Potato),8
230,IRD-362,4555,Setaria,Setaria italica (Foxtail millet) (Panicum italicum),8
231,IRD-69,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
232,IRD-290,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
233,IRD-452,4081,Solanum,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),8
234,IRD-237,4113,Solanum,Solanum tuberosum (Potato),8
235,IRD-489,4113,Solanum,Solanum tuberosum (Potato),8
236,IRD-13,4113,Solanum,Solanum tuberosum (Potato),8
237,IRD-53,4113,Solanum,Solanum tuberosum (Potato),7
238,IRD-411,4113,Solanum,Solanum tuberosum (Potato),8
239,IRD-442,4113,Solanum,Solanum tuberosum (Potato),8
240,IRD-469,4113,Solanum,Solanum tuberosum (Potato),8
241,IRD-66,4113,Solanum,Solanum tuberosum (Potato),8
242,IRD-279,4113,Solanum,Solanum tuberosum (Potato),8
243,IRD-468,4113,Solanum,Solanum tuberosum (Potato),8
244,IRD-298,4113,Solanum,Solanum tuberosum (Potato),8
245,IRD-301,3694,Populus,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),8
246,IRD-348,33114,Capsicum,Capsicum baccatum (Peruvian pepper),8
247,IRD-384,40149,Oryza,Oryza meridionalis,8
248,IRD-500,4113,Solanum,Solanum tuberosum (Potato),8
249,IRD-24,4113,Solanum,Solanum tuberosum (Potato),8
250,IRD-690,4113,Solanum,Solanum tuberosum (Potato),7
251,IRD-332,206008,Panicum,Panicum hallii,8
252,IRD-284,267555,Cuscuta,Cuscuta australis,8
253,IRD-386,4533,Oryza,Oryza brachyantha,8
254,IRD-325,3760,Prunus,Prunus persica (Peach) (Amygdalus persica),8
255,IRD-377,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
256,IRD-93,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
257,IRD-115,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
258,IRD-546,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
259,IRD-97,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
260,IRD-98,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
261,IRD-559,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
262,IRD-83,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
263,IRD-89,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
264,IRD-147,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
265,IRD-316,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
266,IRD-233,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
267,IRD-520,4072,Capsicum,Capsicum annuum (Capsicum pepper),8
268,IRD-363,4556,Setaria,Setaria viridis (Green bristlegrass) (Setaria italica subsp. viridis),7
269,IRD-160,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
270,IRD-162,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
271,IRD-163,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
272,IRD-164,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
273,IRD-241,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
274,IRD-440,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
275,IRD-579,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
276,IRD-580,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
277,IRD-581,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
278,IRD-611,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
279,IRD-612,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
280,IRD-392,888268,Dichanthelium,Dichanthelium oligosanthes,8
281,IRD-161,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
282,IRD-610,35889,Nicotiana,Nicotiana glutinosa (Tobacco),8
283,IRD-334,888268,Dichanthelium,Dichanthelium oligosanthes,8
284,IRD-262,118690,Nicotiana,Nicotiana cavicola,8
285,IRD-664,118690,Nicotiana,Nicotiana cavicola,8
286,IRD-671,118690,Nicotiana,Nicotiana cavicola,8
287,IRD-395,888268,Dichanthelium,Dichanthelium oligosanthes,8
288,IRD-333,112509,Hordeum,Hordeum vulgare subsp. vulgare (Domesticated barley),8
289,IRD-388,77586,Leersia,Leersia perrieri,8
290,IRD-385,77586,Leersia,Leersia perrieri,8
291,IRD-387,40148,Oryza,Oryza glumipatula,8
292,IRD-387,39947,Oryza,Oryza sativa subsp. japonica (Rice),8
293,IRD-185,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
294,IRD-186,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
295,IRD-187,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
296,IRD-188,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
297,IRD-189,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
298,IRD-574,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
299,IRD-600,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
300,IRD-636,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
301,IRD-637,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
302,IRD-638,81866,Nicotiana,Nicotiana clevelandii (Wild tobacco),8
303,IRD-367,49390,Coffea,Coffea canephora (Robusta coffee),8
304,IRD-81,200300,Nicotiana,Nicotiana spegazzinii,8
305,IRD-227,200300,Nicotiana,Nicotiana spegazzinii,8
306,IRD-228,200300,Nicotiana,Nicotiana spegazzinii,8
307,IRD-271,200300,Nicotiana,Nicotiana spegazzinii,8
308,IRD-535,200300,Nicotiana,Nicotiana spegazzinii,8
309,IRD-590,200300,Nicotiana,Nicotiana spegazzinii,8
310,IRD-651,200300,Nicotiana,Nicotiana spegazzinii,8
311,IRD-652,200300,Nicotiana,Nicotiana spegazzinii,8
312,IRD-674,200300,Nicotiana,Nicotiana spegazzinii,8
313,IRD-77,76336,Nicotiana,Nicotiana repanda,8
314,IRD-244,76336,Nicotiana,Nicotiana repanda,8
315,IRD-245,76336,Nicotiana,Nicotiana repanda,8
316,IRD-246,76336,Nicotiana,Nicotiana repanda,8
317,IRD-270,76336,Nicotiana,Nicotiana repanda,8
318,IRD-441,76336,Nicotiana,Nicotiana repanda,8
319,IRD-462,76336,Nicotiana,Nicotiana repanda,8
320,IRD-492,76336,Nicotiana,Nicotiana repanda,8
321,IRD-642,76336,Nicotiana,Nicotiana repanda,8
322,IRD-657,76336,Nicotiana,Nicotiana repanda,8
323,IRD-673,76336,Nicotiana,Nicotiana repanda,8
324,IRD-366,49390,Coffea,Coffea canephora (Robusta coffee),8
325,IRD-335,49390,Coffea,Coffea canephora (Robusta coffee),8
326,IRD-356,71139,Eucalyptus,Eucalyptus grandis (Flooded gum),8
327,IRD-390,4577,Zea,Zea mays (Maize),8
328,IRD-685,49390,Coffea,Coffea canephora (Robusta coffee),8
329,IRD-170,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
330,IRD-171,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
331,IRD-172,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
332,IRD-173,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
333,IRD-252,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
334,IRD-594,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
335,IRD-613,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
336,IRD-614,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
337,IRD-659,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
338,IRD-660,4093,Nicotiana,Nicotiana rustica (Aztec tobacco),8
339,IRD-400,200361,Aegilops,Aegilops tauschii subsp. strangulata (Goatgrass),8
340,IRD-211,4100,Nicotiana,Nicotiana benthamiana,8
341,IRD-230,4100,Nicotiana,Nicotiana benthamiana,8
342,IRD-261,4100,Nicotiana,Nicotiana benthamiana,8
343,IRD-449,4100,Nicotiana,Nicotiana benthamiana,8
344,IRD-640,4100,Nicotiana,Nicotiana benthamiana,8
345,IRD-654,4100,Nicotiana,Nicotiana benthamiana,8
346,IRD-669,4100,Nicotiana,Nicotiana benthamiana,8
347,IRD-338,1504633,Panicum,Panicum hallii var. hallii,8
348,IRD-331,4567,Triticum,Triticum turgidum subsp. durum (Durum wheat) (Triticum durum),8
349,IRD-676,3476,Parasponia,Parasponia andersonii (Sponia andersonii),8
350,IRD-329,200361,Aegilops,Aegilops tauschii subsp. strangulata (Goatgrass),8
351,IRD-387,4538,Oryza,Oryza glaberrima (African rice),8
352,IRD-304,3988,Ricinus,Ricinus communis (Castor bean),8
353,IRD-311,3712,Brassica,Brassica oleracea (Wild cabbage),8
354,IRD-310,51351,Brassica,Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),8
355,IRD-176,200301,Nicotiana,Nicotiana corymbosa,8
356,IRD-577,200301,Nicotiana,Nicotiana corymbosa,8
357,IRD-666,200301,Nicotiana,Nicotiana corymbosa,8
358,IRD-364,4540,Panicum,Panicum miliaceum (Proso millet) (Broomcorn millet),8
359,IRD-400,37682,Aegilops,Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),8
360,IRD-387,65489,Oryza,Oryza barthii,8
