UniprotID,RclID,RclID
A0A2G2X8V0,RL-1,1
A0A2G2XU31,RL-1,2
A0A2G2XU31,RL-9,2
A0A2G2XU31,RL-4,1
A0A2G2Z3H2,RL-12,1
A0A2G2ZAE0,RL-38,1
A0A2G2ZAL9,RL-36,1
A0A2G2ZB86,RL-40,1
A0A2G3A0S4,RL-3,8
A0A2G3A0S4,RL-1,2
A0A2G3A0S4,RL-11,1
A0A2G3A0T9,RL-18,2
A0A2G3A0T9,RL-22,2
A0A2G3A0T9,RL-10,1
A0A2G3A0U2,RL-1,3
A0A2G3A0U2,RL-6,2
A0A2G3A0X2,RL-25,2
A0A2G3A0X2,RL-9,2
A0A2G3A0X2,RL-19,1
A0A2G3AT01,RL-1,2
A0A2G3AT01,RL-9,2
A0A2G3AT14,RL-3,4
A0A2G3AT14,RL-1,2
A0A2G3AT14,RL-11,1
A0A2G3AT15,RL-21,1
A0A2G3AT15,RL-29,1
A0A2G3AT15,RL-3,1
A0A2G3AW40,RL-25,2
A0A2G3AW40,RL-9,2
A0A2G3AW40,RL-19,1
A0A2G3AW51,RL-18,2
A0A2G3AW51,RL-22,2
A0A2G3AW51,RL-10,1
A0A2G3AW63,RL-1,5
A0A2G3AW63,RL-6,2
A0A2G3AW67,RL-21,2
A0A2G3AW67,RL-29,2
A0A2G3AW67,RL-10,1
A0A2G3C7G8,RL-38,1
A0A2G3C7I2,RL-36,1
A0A2G3C875,RL-1,1
A0A2G3C896,RL-43,1
A0A2G3C8B9,RL-40,1
A0A2G3CKE7,RL-37,1
A0A2G9G672,RL-27,1
A0A2G9G784,RL-27,1
A0A2G9H7E3,RL-27,1
A0A2I0AC47,RL-27,1
A0A2I0XG42,RL-33,1
A0A2N9F3Z0,RL-27,1
A0A2P5BLP1,RL-12,1
A0A2P6PET4,RL-55,1
A0A2P6PET9,RL-39,1
A0A2P6PEU3,RL-39,1
A0A2P6PEV5,RL-40,1
A0A2P6PEW5,RL-12,1
A0A2S3HWR8,RL-33,1
A0A2T7C1D4,RL-44,1
A0A2T7C1D7,RL-44,1
A0A2T7DPK9,RL-33,1
A0A2T7DPN3,RL-33,1
A0A2Z7C1T8,RL-27,1
A0A314KX99,RL-30,1
A0A314Y0L5,RL-42,1
A0A328DK31,RL-1,1
A0A328DMQ9,RL-9,1
A0A328EAU2,RL-18,1
A0A368SF18,RL-44,1
A0A371H7D0,RL-40,1
A0A398AAP9,RL-27,1
A0A3B5Z5G1,RL-33,1
A0A3B6GR13,RL-59,1
A0A3L6S7X6,RL-44,1
A0A3N6RQ47,RL-27,1
A0A3P6DUN5,RL-27,1
A0A3Q7FEG3,RL-19,3
A0A3Q7FEG3,RL-2,2
A0A3Q7FEJ3,RL-20,2
A0A3Q7FEJ3,RL-23,2
A0A3Q7FEJ3,RL-4,1
A0A3Q7FH03,RL-49,2
A0A3Q7FH03,RL-10,1
A0A3Q7FH23,RL-20,2
A0A3Q7FH23,RL-23,2
A0A3Q7FH23,RL-4,1
A0A3Q7FH27,RL-10,3
A0A3Q7FH27,RL-46,2
A0A3Q7HFS8,RL-12,1
A0A3Q7IU74,RL-1,4
A0A3Q7IU74,RL-5,2
A0A446KEB4,RL-33,1
A0A453A379,RL-33,1
A0A453ELF2,RL-59,1
A0A484LDR5,RL-9,1
A0A4U6SRV0,RL-44,1
A0A4Y1QVW4,RL-33,1
A0A4Y1QW03,RL-42,1
A0A4Y1QW28,RL-33,1
A0A6J5TTZ0,RL-42,1
A0A6N2ANB8,RL-46,2
A0A6N2ANB8,RL-10,1
A0A6N2AQH0,RL-20,1
A0A6N2AQH0,RL-4,1
A0A6N2ASC2,RL-4,1
A0A6N2AW41,RL-1,2
A0A6N2BD76,RL-26,1
A0A6P6UNR4,RL-53,1
A0A6P6UW59,RL-33,1
A2XLR0,RL-12,1
A3AMF1,RL-12,1
A3FMA3,RL-12,1
B0FZ75,RL-13,2
B3F0C1,RL-1,8
B3F0C1,RL-14,2
B3F0C1,RL-5,1
B6SSS5,RL-12,1
B9IQG0,RL-27,1
B9S759,RL-27,1
C0SKK6,RL-13,2
C5WLW2,RL-62,1
C5XFQ3,RL-33,1
D2CGQ2,RL-6,2
D2CGQ2,RL-1,1
D2CGT3,RL-3,2
D2CGT3,RL-1,1
D2CGT4,RL-1,3
D2CGT5,RL-1,3
D2CGT6,RL-6,2
D2CGT6,RL-1,1
D2CGT7,RL-1,3
D2CGT8,RL-3,2
D2CGT8,RL-11,1
D2CGT9,RL-1,1
D2CGU0,RL-11,1
D2CGU1,RL-11,1
D2CH22,RL-1,3
D7KZ92,RL-27,1
D7TGT1,RL-27,1
D8QVL0,RL-39,1
D8QVL0,RL-4,1
D8QVL2,RL-60,1
D8QVP9,RL-39,1
D8QVP9,RL-4,1
D8RWY6,RL-33,1
D8SAC0,RL-9,1
D8SAC2,RL-39,1
D8SAC2,RL-9,1
D8SAC5,RL-39,1
D8SAC5,RL-4,1
E9JGS8,RL-8,2
E9JGS8,RL-4,1
E9JGT0,RL-1,2
E9JGT0,RL-4,1
E9JGT1,RL-1,4
I1HDV9,RL-33,1
I1PF65,RL-12,1
I3QHE9,RL-7,1
I3QHF0,RL-7,2
I3QHF0,RL-4,1
I3QHF1,RL-7,2
I3QHF1,RL-4,1
I3S093,RL-12,1
I6Q7H6,RL-7,2
I6Q7H6,RL-4,1
I7AXR4,RL-10,1
J3LSK1,RL-12,1
J7EN93,RL-1,2
J7EN93,RL-9,1
J7EN94,RL-1,3
J7EN94,RL-9,1
J7ENS8,RL-2,1
J7ENS8,RL-9,1
J7EQ13,RL-2,2
J7EQ13,RL-9,1
J7EQ14,RL-2,2
J7EQ14,RL-9,1
J7EQ45,RL-1,2
J7EQ46,RL-2,2
K4AKH4,RL-44,1
K7W5K0,RL-13,2
K7X8A9,RL-12,1
M0ZPU4,RL-36,1
M0ZPU5,RL-36,1
M0ZPU7,RL-36,2
M0ZZR6,RL-9,3
M0ZZR6,RL-1,2
M1AJ80,RL-5,2
M1AJ80,RL-1,1
M1AJ81,RL-13,1
M1AJ82,RL-13,2
M1AJ83,RL-13,2
M1B8F7,RL-13,2
M1B8F7,RL-20,2
M1B8F7,RL-4,1
M1B8F8,RL-2,2
M1B8F8,RL-9,2
M1B8F8,RL-10,1
M1B8F9,RL-18,2
M1B8F9,RL-34,2
M1B8F9,RL-10,1
M1BKA8,RL-12,1
M1BKA9,RL-12,1
M1C853,RL-26,1
M1C854,RL-26,1
M1C870,RL-26,1
M1D0E9,RL-50,2
M1D0E9,RL-17,1
M1D3J7,RL-30,1
M1DJV3,RL-11,2
M1DJV3,RL-20,2
M1DJV3,RL-19,1
M4CUW0,RL-27,1
M5XPI6,RL-42,1
M5XRU0,RL-33,1
M7ZEF2,RL-33,1
O49146,RL-3,4
O49146,RL-11,1
O82735,RL-2,2
O82735,RL-9,1
P01078,RL-1,1
P01079,RL-1,1
P01080,RL-2,2
P01080,RL-48,1
P05119,RL-7,2
P05119,RL-4,1
P56615,RL-6,1
P83241,RL-1,1
P84813,RL-2,1
Q00782,RL-1,2
Q00782,RL-9,2
Q1WL29,RL-1,11
Q1WL30,RL-1,11
Q1WL31,RL-1,13
Q1WL31,RL-5,2
Q1WL35,RL-1,13
Q1WL35,RL-5,2
Q1WL36,RL-1,8
Q1WL36,RL-3,5
Q1WL37,RL-1,2
Q1WL37,RL-5,1
Q1WL38,RL-1,12
Q1WL38,RL-5,1
Q1WL39,RL-1,10
Q1WL39,RL-5,1
Q1WL40,RL-1,10
Q1WL40,RL-7,1
Q1WL41,RL-1,7
Q1WL41,RL-17,2
Q1WL42,RL-1,9
Q1WL43,RL-1,6
Q1WL43,RL-3,4
Q1WL43,RL-2,1
Q1WL44,RL-1,6
Q1WL44,RL-3,4
Q1WL44,RL-2,1
Q1WL45,RL-2,6
Q1WL45,RL-1,2
Q1WL45,RL-16,2
Q1WL45,RL-7,1
Q1WL46,RL-1,6
Q1WL46,RL-8,2
Q1WL46,RL-4,1
Q1WL47,RL-1,6
Q1WL47,RL-8,2
Q1WL47,RL-4,1
Q1WL48,RL-1,6
Q1WL48,RL-8,2
Q1WL48,RL-4,1
Q1WL49,RL-1,6
Q1WL49,RL-4,3
Q1WL49,RL-15,2
Q1WL50,RL-1,4
Q1WL50,RL-8,2
Q1WL50,RL-4,1
Q1WL51,RL-8,2
Q1WL51,RL-4,1
Q2TU74,RL-4,1
Q2XVY5,RL-1,6
Q2XVY5,RL-3,4
Q2XVY5,RL-2,1
Q32YL3,RL-4,1
Q3S483,RL-2,2
Q3S483,RL-9,1
Q3S485,RL-2,2
Q3S485,RL-9,1
Q3S493,RL-2,2
Q3S493,RL-9,1
Q3SBE6,RL-1,4
Q3SBE6,RL-3,2
Q3SBE6,RL-2,1
Q40378,RL-1,8
Q40378,RL-3,3
Q40561,RL-12,2
Q40561,RL-24,2
Q40561,RL-10,1
Q41435,RL-2,2
Q41488,RL-1,2
Q41488,RL-9,1
Q41489,RL-2,2
Q43502,RL-10,3
Q43502,RL-46,2
Q43652,RL-2,2
Q43652,RL-10,1
Q43710,RL-10,5
Q4U5Z3,RL-6,4
Q4U5Z3,RL-1,1
Q4U5Z4,RL-1,3
Q4U5Z4,RL-6,2
Q4U5Z5,RL-3,4
Q4U5Z5,RL-1,2
Q4U5Z5,RL-11,1
Q4Z8K2,RL-1,3
Q4Z8K2,RL-6,2
Q4Z8K3,RL-6,4
Q4Z8K3,RL-1,1
Q4ZIQ2,RL-3,4
Q4ZIQ2,RL-1,2
Q4ZIQ2,RL-11,1
Q4ZIQ3,RL-1,2
Q4ZIQ3,RL-3,2
Q4ZIQ3,RL-6,2
Q4ZIQ3,RL-11,1
Q4ZIQ4,RL-3,4
Q4ZIQ4,RL-1,2
Q4ZIQ4,RL-11,1
Q4ZIQ5,RL-3,4
Q4ZIQ5,RL-1,2
Q4ZIQ5,RL-11,1
Q4ZIQ6,RL-6,4
Q4ZIQ6,RL-1,1
Q5YLI5,RL-1,11
Q6AVT6,RL-12,1
Q6H238,RL-1,10
Q6H3X6,RL-7,2
Q6H3X6,RL-4,1
Q6JKN9,RL-27,2
Q6JKN9,RL-4,1
Q6NQ47,RL-27,1
Q7M1P5,RL-1,1
Q7M222,RL-1,3
Q84L56,RL-1,2
Q84L56,RL-9,1
Q84LJ9,RL-1,13
Q8W2K1,RL-35,2
Q8W2K1,RL-4,1
Q8W2K6,RL-4,2
Q8W2K6,RL-8,2
Q9C7G9,RL-27,1
Q9M514,RL-1,3
Q9SDL4,RL-1,3
Q9SDL4,RL-6,2
Q9SDW7,RL-1,9
Q9SDW7,RL-2,2
Q9SDW8,RL-1,13
Q9SDW8,RL-2,2
Q9SQ77,RL-1,4
Q9SQ77,RL-3,3
R0GJB3,RL-27,1
R7WBW6,RL-59,1
S8C5T1,RL-35,1
S8C608,RL-56,1
T1PZ63,RL-3,2
T1PZ63,RL-11,1
T1PZ64,RL-1,5
T1PZ64,RL-6,2
T1PZ65,RL-1,3
T1PZ65,RL-3,2
T1PZ68,RL-1,3
T1PZ68,RL-3,2
T1PZ72,RL-1,3
T1PZ72,RL-3,2
T1PZ73,RL-1,3
T1PZ73,RL-6,2
T1PZ75,RL-1,3
T1PZ75,RL-3,2
T1PZ76,RL-1,3
T1PZ76,RL-6,2
T1PZ78,RL-1,3
T1PZ78,RL-3,2
T1PZ84,RL-28,2
T1PZ84,RL-1,1
T1PZ85,RL-1,5
T1PZ85,RL-6,2
T1PZ86,RL-1,3
T1PZ86,RL-3,2
T1PZ88,RL-3,2
T1PZ88,RL-1,1
T1PZ89,RL-1,5
T1PZ90,RL-1,3
T1PZ90,RL-3,2
T1PZ91,RL-1,3
T1PZ91,RL-6,2
T1PZA9,RL-6,2
T1PZA9,RL-1,1
T1PZB0,RL-3,2
T1PZB0,RL-1,1
T1PZB1,RL-1,3
T1PZB1,RL-6,2
T1PZB2,RL-1,3
T1PZB2,RL-3,2
T1PZB3,RL-1,3
T1PZB3,RL-6,2
T1PZB4,RL-1,3
T1PZB4,RL-3,2
T1PZB4,RL-6,2
T1PZB5,RL-1,3
T1PZB5,RL-6,2
T1PZB6,RL-1,3
T1PZB6,RL-3,2
T1PZB7,RL-1,3
T1PZB7,RL-6,2
T1PZE6,RL-6,3
T1PZE6,RL-1,1
T1PZE8,RL-6,2
T1PZE8,RL-1,1
T1PZF0,RL-1,3
T1PZF0,RL-6,2
T1PZF2,RL-1,3
T1PZF2,RL-3,2
T1PZF5,RL-1,3
T1PZF5,RL-6,2
T1PZF6,RL-3,4
T1PZF6,RL-1,2
T1PZF6,RL-11,1
T1PZF7,RL-1,3
T1PZF7,RL-3,2
T1PZF8,RL-1,3
T1PZF8,RL-3,2
T1PZF9,RL-1,3
T1PZF9,RL-3,2
T1PZJ5,RL-3,2
T1PZJ5,RL-1,1
T1PZJ7,RL-1,2
T1PZJ7,RL-3,2
T1PZJ7,RL-43,1
T1PZJ8,RL-3,2
T1PZJ8,RL-6,2
T1PZJ8,RL-1,1
T1PZK0,RL-6,4
T1PZK0,RL-1,1
T1PZK2,RL-1,3
T1PZK2,RL-6,2
T1PZK4,RL-1,3
T1PZK4,RL-3,2
T1PZK7,RL-1,3
T1PZK7,RL-6,2
T1PZL0,RL-1,3
T1PZL0,RL-6,2
W5ADU4,RL-33,1
W9RZD9,RL-33,1
