RclID,UniprotID,UniprotID
RL-1,A0A2G2V3L6,2
RL-1,A0A2G2V3L7,2
RL-1,A0A2G2XU31,2
RL-1,A0A2G3A0S4,2
RL-1,A0A2G3AT01,2
RL-1,A0A2G3AT14,2
RL-1,A0A6N2AW41,2
RL-1,E9JGT0,2
RL-1,J7EN93,2
RL-1,J7EQ45,2
RL-1,M0ZZR6,2
RL-1,Q00782,2
RL-1,Q1WL37,2
RL-1,Q1WL45,2
RL-1,Q41488,2
RL-1,Q4U5Z5,2
RL-1,Q4ZIQ2,2
RL-1,Q4ZIQ3,2
RL-1,Q4ZIQ4,2
RL-1,Q4ZIQ5,2
RL-1,Q84L56,2
RL-1,T1PZF6,2
RL-1,T1PZJ7,2
RL-1,A0A097J9C1,1
RL-1,A0A097J9D6,1
RL-1,A0A097J9D7,1
RL-1,A0A1S3Z2Q3,1
RL-1,A0A1U7VHX6,1
RL-1,A0A1U8FJ97,1
RL-1,A0A2G2X8V0,1
RL-1,A0A2G3C875,1
RL-1,A0A328DK31,1
RL-1,D2CGQ2,1
RL-1,D2CGT3,1
RL-1,D2CGT6,1
RL-1,D2CGT9,1
RL-1,M1AJ80,1
RL-1,P01078,1
RL-1,P01079,1
RL-1,P83241,1
RL-1,Q4U5Z3,1
RL-1,Q4Z8K3,1
RL-1,Q4ZIQ6,1
RL-1,Q7M1P5,1
RL-1,T1PZ84,1
RL-1,T1PZ88,1
RL-1,T1PZA9,1
RL-1,T1PZB0,1
RL-1,T1PZE6,1
RL-1,T1PZE8,1
RL-1,T1PZJ5,1
RL-1,T1PZJ8,1
RL-1,T1PZK0,1
RL-10,Q43710,5
RL-10,A0A3Q7FH27,3
RL-10,Q43502,3
RL-10,A0A075EZT7,1
RL-10,A0A1J6JJ91,1
RL-10,A0A1U7XB93,1
RL-10,A0A1U8GHX6,1
RL-10,A0A2G2X8Q0,1
RL-10,A0A2G2X8T6,1
RL-10,A0A2G3A0T9,1
RL-10,A0A2G3AW51,1
RL-10,A0A2G3AW67,1
RL-10,A0A3Q7FH03,1
RL-10,A0A6N2ANB8,1
RL-10,I7AXR4,1
RL-10,M1B8F8,1
RL-10,M1B8F9,1
RL-10,Q40561,1
RL-10,Q43652,1
RL-11,M1DJV3,2
RL-11,A0A0V0GWC2,1
RL-11,A0A2G2V3L7,1
RL-11,A0A2G3A0S4,1
RL-11,A0A2G3AT14,1
RL-11,D2CGT8,1
RL-11,D2CGU0,1
RL-11,D2CGU1,1
RL-11,O49146,1
RL-11,Q4U5Z5,1
RL-11,Q4ZIQ2,1
RL-11,Q4ZIQ3,1
RL-11,Q4ZIQ4,1
RL-11,Q4ZIQ5,1
RL-11,T1PZ63,1
RL-11,T1PZF6,1
RL-12,A0A075EZT7,2
RL-12,A0A1J6JJ91,2
RL-12,A0A1U7XB93,2
RL-12,Q40561,2
RL-12,A0A072UHW5,1
RL-12,A0A0D3FNQ1,1
RL-12,A0A0D9VYN1,1
RL-12,A0A0D9VYN2,1
RL-12,A0A0D9ZCR1,1
RL-12,A0A0E0D682,1
RL-12,A0A0E0GTG1,1
RL-12,A0A0E0KIP4,1
RL-12,A0A0E0P0X3,1
RL-12,A0A0K9S2T0,1
RL-12,A0A1E5UMZ8,1
RL-12,A0A1U8H7N7,1
RL-12,A0A2G2WDG3,1
RL-12,A0A2G2Z3H2,1
RL-12,A0A2P5BLP1,1
RL-12,A0A2P6PEW5,1
RL-12,A0A3Q7HFS8,1
RL-12,A2XLR0,1
RL-12,A3AMF1,1
RL-12,A3FMA3,1
RL-12,B6SSS5,1
RL-12,I1PF65,1
RL-12,I3S093,1
RL-12,J3LSK1,1
RL-12,K7X8A9,1
RL-12,M1BKA8,1
RL-12,M1BKA9,1
RL-12,Q6AVT6,1
RL-13,A0A097H191,2
RL-13,A0A097H193,2
RL-13,A0A097H1D1,2
RL-13,A0A0V0GNA2,2
RL-13,B0FZ75,2
RL-13,C0SKK6,2
RL-13,K7W5K0,2
RL-13,M1AJ82,2
RL-13,M1AJ83,2
RL-13,M1B8F7,2
RL-13,M1AJ81,1
RL-14,A0A1X9QDP7,2
RL-14,B3F0C1,2
RL-15,Q1WL49,2
RL-16,Q1WL45,2
RL-17,Q1WL41,2
RL-17,A0A0V0H1C2,1
RL-17,M1D0E9,1
RL-18,A0A1U8GHX6,2
RL-18,A0A2G2X8Q0,2
RL-18,A0A2G3A0T9,2
RL-18,A0A2G3AW51,2
RL-18,M1B8F9,2
RL-18,A0A328EAU2,1
RL-19,A0A3Q7FEG3,3
RL-19,A0A1U8GFH5,1
RL-19,A0A2G3A0X2,1
RL-19,A0A2G3AW40,1
RL-19,M1DJV3,1
RL-2,Q1WL45,6
RL-2,A0A1S3YZT7,4
RL-2,A0A0V0GZD4,2
RL-2,A0A0V0HBN9,2
RL-2,A0A1X9QDN7,2
RL-2,A0A1X9QDP2,2
RL-2,A0A3Q7FEG3,2
RL-2,J7EQ13,2
RL-2,J7EQ14,2
RL-2,J7EQ46,2
RL-2,M1B8F8,2
RL-2,O82735,2
RL-2,P01080,2
RL-2,Q3S483,2
RL-2,Q3S485,2
RL-2,Q3S493,2
RL-2,Q41435,2
RL-2,Q41489,2
RL-2,Q43652,2
RL-2,Q9SDW7,2
RL-2,Q9SDW8,2
RL-2,A0A1U7WDA6,1
RL-2,J7ENS8,1
RL-2,P84813,1
RL-2,Q1WL43,1
RL-2,Q1WL44,1
RL-2,Q2XVY5,1
RL-2,Q3SBE6,1
RL-20,A0A0V0GWC2,2
RL-20,A0A3Q7FEJ3,2
RL-20,A0A3Q7FH23,2
RL-20,M1B8F7,2
RL-20,M1DJV3,2
RL-20,A0A6N2AQH0,1
RL-21,A0A2G2X8T6,2
RL-21,A0A2G3AW67,2
RL-21,A0A2G3AT15,1
RL-22,A0A2G3A0T9,2
RL-22,A0A2G3AW51,2
RL-22,A0A1U8FAF4,1
RL-23,A0A3Q7FEJ3,2
RL-23,A0A3Q7FH23,2
RL-24,A0A075EZT7,2
RL-24,A0A1J6JJ91,2
RL-24,A0A1U7XB93,2
RL-24,Q40561,2
RL-25,A0A1U8GFH5,2
RL-25,A0A2G3A0X2,2
RL-25,A0A2G3AW40,2
RL-26,A0A6N2BD76,1
RL-26,M1C853,1
RL-26,M1C854,1
RL-26,M1C870,1
RL-27,Q6JKN9,2
RL-27,A0A022Q5A4,1
RL-27,A0A067L586,1
RL-27,A0A0D3APY5,1
RL-27,A0A1B6Q2N4,1
RL-27,A0A1E5UNA0,1
RL-27,A0A1J3DYX7,1
RL-27,A0A1J3G2U3,1
RL-27,A0A1J3HRR4,1
RL-27,A0A1J3ILC6,1
RL-27,A0A2C9U1Z6,1
RL-27,A0A2C9U386,1
RL-27,A0A2G9G672,1
RL-27,A0A2G9G784,1
RL-27,A0A2G9H7E3,1
RL-27,A0A2I0AC47,1
RL-27,A0A2N9F3Z0,1
RL-27,A0A2Z7C1T8,1
RL-27,A0A398AAP9,1
RL-27,A0A3N6RQ47,1
RL-27,A0A3P6DUN5,1
RL-27,B9IQG0,1
RL-27,B9S759,1
RL-27,D7KZ92,1
RL-27,D7TGT1,1
RL-27,M4CUW0,1
RL-27,Q6NQ47,1
RL-27,Q9C7G9,1
RL-27,R0GJB3,1
RL-28,T1PZ84,2
RL-29,A0A2G2X8T6,2
RL-29,A0A2G3AW67,2
RL-29,A0A2G3AT15,1
RL-3,A0A2G3A0S4,8
RL-3,Q1WL36,5
RL-3,A0A2G3AT14,4
RL-3,O49146,4
RL-3,Q1WL43,4
RL-3,Q1WL44,4
RL-3,Q2XVY5,4
RL-3,Q4U5Z5,4
RL-3,Q4ZIQ2,4
RL-3,Q4ZIQ4,4
RL-3,Q4ZIQ5,4
RL-3,T1PZF6,4
RL-3,Q40378,3
RL-3,Q9SQ77,3
RL-3,A0A1U7WDA6,2
RL-3,D2CGT3,2
RL-3,D2CGT8,2
RL-3,Q3SBE6,2
RL-3,Q4ZIQ3,2
RL-3,T1PZ63,2
RL-3,T1PZ65,2
RL-3,T1PZ68,2
RL-3,T1PZ72,2
RL-3,T1PZ75,2
RL-3,T1PZ78,2
RL-3,T1PZ86,2
RL-3,T1PZ88,2
RL-3,T1PZ90,2
RL-3,T1PZB0,2
RL-3,T1PZB2,2
RL-3,T1PZB4,2
RL-3,T1PZB6,2
RL-3,T1PZF2,2
RL-3,T1PZF7,2
RL-3,T1PZF8,2
RL-3,T1PZF9,2
RL-3,T1PZJ5,2
RL-3,T1PZJ7,2
RL-3,T1PZJ8,2
RL-3,T1PZK4,2
RL-3,A0A097J9D1,1
RL-3,A0A2G3AT15,1
RL-30,A0A1S3Y6L6,1
RL-30,A0A1S3Z2Q3,1
RL-30,A0A1S4BIG0,1
RL-30,A0A1S4DR24,1
RL-30,A0A1U7VHX6,1
RL-30,A0A1U7XBN8,1
RL-30,A0A314KX99,1
RL-30,M1D3J7,1
RL-31,A0A2G2V3L7,2
RL-32,A0A1S3Z2Q3,2
RL-32,A0A1U7VHX6,2
RL-33,A0A068UQ46,1
RL-33,A0A068UQV4,1
RL-33,A0A199UJF1,1
RL-33,A0A199W8X6,1
RL-33,A0A1E5VFG3,1
RL-33,A0A218XK76,1
RL-33,A0A251RIY1,1
RL-33,A0A287GT10,1
RL-33,A0A2I0XG42,1
RL-33,A0A2S3HWR8,1
RL-33,A0A2T7DPK9,1
RL-33,A0A2T7DPN3,1
RL-33,A0A3B5Z5G1,1
RL-33,A0A446KEB4,1
RL-33,A0A453A379,1
RL-33,A0A4Y1QVW4,1
RL-33,A0A4Y1QW28,1
RL-33,A0A6P6UW59,1
RL-33,C5XFQ3,1
RL-33,D8RWY6,1
RL-33,I1HDV9,1
RL-33,M5XRU0,1
RL-33,M7ZEF2,1
RL-33,W5ADU4,1
RL-33,W9RZD9,1
RL-34,M1B8F9,2
RL-35,Q8W2K1,2
RL-35,S8C5T1,1
RL-36,M0ZPU7,2
RL-36,A0A1U8HFR9,1
RL-36,A0A2G2WK73,1
RL-36,A0A2G2ZAL9,1
RL-36,A0A2G3C7I2,1
RL-36,M0ZPU4,1
RL-36,M0ZPU5,1
RL-37,A0A1J6JY14,1
RL-37,A0A1S3YL26,1
RL-37,A0A1S3YTB5,1
RL-37,A0A1U7YPZ0,1
RL-37,A0A2G2WX27,1
RL-37,A0A2G3CKE7,1
RL-38,A0A1U8HFS2,1
RL-38,A0A2G2WK87,1
RL-38,A0A2G2ZAE0,1
RL-38,A0A2G3C7G8,1
RL-39,A0A1S2Z6Q3,1
RL-39,A0A2P6PET9,1
RL-39,A0A2P6PEU3,1
RL-39,D8QVL0,1
RL-39,D8QVP9,1
RL-39,D8SAC2,1
RL-39,D8SAC5,1
RL-4,Q1WL49,3
RL-4,Q8W2K6,2
RL-4,A0A097J9C9,1
RL-4,A0A097J9D4,1
RL-4,A0A097J9D5,1
RL-4,A0A097J9D8,1
RL-4,A0A1U8FXN6,1
RL-4,A0A2G2V3L6,1
RL-4,A0A2G2XU31,1
RL-4,A0A3Q7FEJ3,1
RL-4,A0A3Q7FH23,1
RL-4,A0A6N2AQH0,1
RL-4,A0A6N2ASC2,1
RL-4,D8QVL0,1
RL-4,D8QVP9,1
RL-4,D8SAC5,1
RL-4,E9JGS8,1
RL-4,E9JGT0,1
RL-4,I3QHF0,1
RL-4,I3QHF1,1
RL-4,I6Q7H6,1
RL-4,M1B8F7,1
RL-4,P05119,1
RL-4,Q1WL46,1
RL-4,Q1WL47,1
RL-4,Q1WL48,1
RL-4,Q1WL50,1
RL-4,Q1WL51,1
RL-4,Q2TU74,1
RL-4,Q32YL3,1
RL-4,Q6H3X6,1
RL-4,Q6JKN9,1
RL-4,Q8W2K1,1
RL-40,A0A2G2WK98,1
RL-40,A0A2G2ZB86,1
RL-40,A0A2G3C8B9,1
RL-40,A0A2P6PEV5,1
RL-40,A0A371H7D0,1
RL-41,A0A059BUH3,1
RL-41,A0A068UQG0,1
RL-42,A0A314Y0L5,1
RL-42,A0A4Y1QW03,1
RL-42,A0A6J5TTZ0,1
RL-42,M5XPI6,1
RL-43,A0A1J6KQH3,1
RL-43,A0A1S3XF39,1
RL-43,A0A1S3ZJX9,1
RL-43,A0A1U7XKN6,1
RL-43,A0A2G2WK91,1
RL-43,A0A2G3C896,1
RL-43,T1PZJ7,1
RL-44,A0A2T7C1D4,1
RL-44,A0A2T7C1D7,1
RL-44,A0A368SF18,1
RL-44,A0A3L6S7X6,1
RL-44,A0A4U6SRV0,1
RL-44,K4AKH4,1
RL-45,A0A1U7Y2F0,1
RL-46,A0A3Q7FH27,2
RL-46,A0A6N2ANB8,2
RL-46,Q43502,2
RL-47,A0A2G2X8Q0,2
RL-48,P01080,1
RL-49,A0A3Q7FH03,2
RL-5,A0A1S3Z2Q3,2
RL-5,A0A3Q7IU74,2
RL-5,M1AJ80,2
RL-5,Q1WL31,2
RL-5,Q1WL35,2
RL-5,A0A1S3YZT7,1
RL-5,A0A1S4A0N1,1
RL-5,B3F0C1,1
RL-5,Q1WL37,1
RL-5,Q1WL38,1
RL-5,Q1WL39,1
RL-50,A0A0V0H1C2,2
RL-50,M1D0E9,2
RL-51,A0A1U7VLC3,1
RL-52,A0A068UQY4,1
RL-53,A0A068VJU5,1
RL-53,A0A6P6UNR4,1
RL-54,A0A1S3X5H6,1
RL-55,A0A2P6PET4,1
RL-56,S8C608,1
RL-57,A0A166GCC0,1
RL-58,A0A059PYZ4,1
RL-59,A0A3B6GR13,1
RL-59,A0A453ELF2,1
RL-59,R7WBW6,1
RL-6,A0A097J9C1,4
RL-6,A0A097J9D7,4
RL-6,A0A2G2X8V0,4
RL-6,Q4U5Z3,4
RL-6,Q4Z8K3,4
RL-6,Q4ZIQ6,4
RL-6,T1PZK0,4
RL-6,T1PZE6,3
RL-6,A0A097J9B6,2
RL-6,A0A097J9C0,2
RL-6,A0A097J9C5,2
RL-6,A0A097J9D3,2
RL-6,A0A1U8G7B9,2
RL-6,A0A2G3A0U2,2
RL-6,A0A2G3AW63,2
RL-6,D2CGQ2,2
RL-6,D2CGT6,2
RL-6,Q4U5Z4,2
RL-6,Q4Z8K2,2
RL-6,Q4ZIQ3,2
RL-6,Q9SDL4,2
RL-6,T1PZ64,2
RL-6,T1PZ73,2
RL-6,T1PZ76,2
RL-6,T1PZ85,2
RL-6,T1PZ91,2
RL-6,T1PZA9,2
RL-6,T1PZB1,2
RL-6,T1PZB3,2
RL-6,T1PZB4,2
RL-6,T1PZB5,2
RL-6,T1PZB7,2
RL-6,T1PZE8,2
RL-6,T1PZF0,2
RL-6,T1PZF5,2
RL-6,T1PZJ8,2
RL-6,T1PZK2,2
RL-6,T1PZK7,2
RL-6,T1PZL0,2
RL-6,P56615,1
RL-60,D8QVL2,1
RL-61,A0A059Q2U6,1
RL-62,C5WLW2,1
RL-7,I3QHF0,2
RL-7,I3QHF1,2
RL-7,I6Q7H6,2
RL-7,P05119,2
RL-7,Q6H3X6,2
RL-7,I3QHE9,1
RL-7,Q1WL40,1
RL-7,Q1WL45,1
RL-8,E9JGS8,2
RL-8,Q1WL46,2
RL-8,Q1WL47,2
RL-8,Q1WL48,2
RL-8,Q1WL50,2
RL-8,Q1WL51,2
RL-8,Q8W2K6,2
RL-9,M0ZZR6,3
RL-9,A0A097J9C9,2
RL-9,A0A097J9D4,2
RL-9,A0A097J9D5,2
RL-9,A0A097J9D8,2
RL-9,A0A1U8FXN6,2
RL-9,A0A1U8GFH5,2
RL-9,A0A2G2V3L6,2
RL-9,A0A2G2V3L7,2
RL-9,A0A2G2XU31,2
RL-9,A0A2G3A0X2,2
RL-9,A0A2G3AT01,2
RL-9,A0A2G3AW40,2
RL-9,M1B8F8,2
RL-9,Q00782,2
RL-9,A0A023UDB8,1
RL-9,A0A097H1A1,1
RL-9,A0A097H1D6,1
RL-9,A0A0V0GZD4,1
RL-9,A0A1X9QDN7,1
RL-9,A0A1X9QDP7,1
RL-9,A0A328DMQ9,1
RL-9,A0A484LDR5,1
RL-9,D8SAC0,1
RL-9,D8SAC2,1
RL-9,J7EN93,1
RL-9,J7EN94,1
RL-9,J7ENS8,1
RL-9,J7EQ13,1
RL-9,J7EQ14,1
RL-9,O82735,1
RL-9,Q3S483,1
RL-9,Q3S485,1
RL-9,Q3S493,1
RL-9,Q41488,1
RL-9,Q84L56,1
