DomainType,Organism,Organism
2.0,Nicotiana obtusifolia,7
2.0,Nicotiana occidentalis subsp. hesperis,6
2.0,Nicotiana repanda,6
2.0,Nicotiana alata (Winged tobacco) (Persian tobacco),5
2.0,Nicotiana clevelandii (Wild tobacco),5
2.0,Nicotiana linearis,5
2.0,Nicotiana megalosiphon,5
2.0,Nicotiana miersii,5
2.0,Nicotiana pauciflora,5
2.0,Nicotiana quadrivalvis,5
2.0,Nicotiana rustica (Aztec tobacco),5
2.0,Nicotiana simulans,5
2.0,Nicotiana spegazzinii,5
2.0,Nicotiana umbratica,5
2.0,Solanum chilense (Tomato) (Lycopersicon chilense),5
2.0,Nicotiana benthamiana,4
2.0,Solanum americanum (American black nightshade) (Solanum nodiflorum),4
2.0,Solanum chacoense (Chaco potato),4
2.0,Solanum nigrum (Black nightshade),4
2.0,Nicotiana cavicola,2
2.0,Nicotiana corymbosa,2
2.0,Solanum phureja,1
3.0,Solanum tuberosum (Potato),34
3.0,Capsicum annuum (Capsicum pepper),16
3.0,Capsicum chinense (Scotch bonnet) (Bonnet pepper),16
3.0,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),14
3.0,Capsicum baccatum (Peruvian pepper),12
3.0,Nicotiana tabacum (Common tobacco),11
3.0,Selaginella moellendorffii (Spikemoss),10
3.0,Nicotiana sylvestris (Wood tobacco) (South American tobacco),6
3.0,Solanum chacoense (Chaco potato),6
3.0,Coffea canephora (Robusta coffee),5
3.0,Rosa chinensis (China rose),5
3.0,Solanum nigrum (Black nightshade),5
3.0,Nicotiana attenuata (Coyote tobacco),4
3.0,Cuscuta australis,3
3.0,Dichanthelium oligosanthes,3
3.0,Solanum chilense (Tomato) (Lycopersicon chilense),3
3.0,Sorghum bicolor (Sorghum) (Sorghum vulgare),3
3.0,Triticum aestivum (Wheat),3
3.0,Aegilops tauschii subsp. strangulata (Goatgrass),2
3.0,Ananas comosus (Pineapple) (Ananas ananas),2
3.0,Coffea arabica (Arabian coffee),2
3.0,Genlisea aurea,2
3.0,Handroanthus impetiginosus,2
3.0,Leersia perrieri,2
3.0,Manihot esculenta (Cassava) (Jatropha manihot),2
3.0,Medicago truncatula (Barrel medic) (Medicago tribuloides),2
3.0,Panicum hallii var. hallii,2
3.0,Prunus dulcis (Almond) (Amygdalus dulcis),2
3.0,Prunus persica (Peach) (Amygdalus persica),2
3.0,Saccharum hybrid cultivar R570,2
3.0,Setaria italica (Foxtail millet) (Panicum italicum),2
3.0,Zea mays (Maize),2
3.0,Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),1
3.0,Apostasia shenzhenica,1
3.0,Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),1
3.0,Arabidopsis thaliana (Mouse-ear cress),1
3.0,Brachypodium distachyon (Purple false brome) (Trachynia distachya),1
3.0,Brassica campestris (Field mustard),1
3.0,Brassica cretica (Mustard),1
3.0,Brassica oleracea (Wild cabbage),1
3.0,Brassica oleracea var. oleracea,1
3.0,Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),1
3.0,Capsella rubella,1
3.0,Cicer arietinum (Chickpea) (Garbanzo),1
3.0,Cuscuta campestris,1
3.0,Daucus carota subsp. sativus (Carrot),1
3.0,Dendrobium catenatum,1
3.0,Dorcoceras hygrometricum,1
3.0,Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),1
3.0,Eucalyptus grandis (Flooded gum),1
3.0,Fagus sylvatica (Beechnut),1
3.0,Hordeum vulgare subsp. vulgare (Domesticated barley),1
3.0,Jatropha curcas (Barbados nut),1
3.0,Morus notabilis,1
3.0,Mucuna pruriens (Velvet bean) (Dolichos pruriens),1
3.0,Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),1
3.0,Olea europaea (Common olive),1
3.0,Oryza barthii,1
3.0,Oryza brachyantha,1
3.0,Oryza glaberrima (African rice),1
3.0,Oryza glumipatula,1
3.0,Oryza meridionalis,1
3.0,Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),1
3.0,Oryza punctata (Red rice),1
3.0,Oryza rufipogon (Brownbeard rice) (Asian wild rice),1
3.0,Oryza sativa subsp. indica (Rice),1
3.0,Oryza sativa subsp. japonica (Rice),1
3.0,Panicum hallii,1
3.0,Panicum miliaceum (Proso millet) (Broomcorn millet),1
3.0,Parasponia andersonii (Sponia andersonii),1
3.0,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),1
3.0,Prunus armeniaca (Apricot) (Armeniaca vulgaris),1
3.0,Prunus yedoensis var. nudiflora,1
3.0,Punica granatum (Pomegranate),1
3.0,Ricinus communis (Castor bean),1
3.0,Setaria viridis (Green bristlegrass) (Setaria italica subsp. viridis),1
3.0,Solanum americanum (American black nightshade) (Solanum nodiflorum),1
3.0,Solanum phureja,1
3.0,Spinacia oleracea (Spinach),1
3.0,Triticum turgidum subsp. durum (Durum wheat) (Triticum durum),1
3.0,Triticum urartu (Red wild einkorn) (Crithodium urartu),1
3.0,Vitis vinifera (Grape),1
