DomainID,UniprotID,UniprotID
IRD-142,A0A2G2V3L7,1
IRD-143,A0A2G3A0S4,1
IRD-143,A0A2G3AT14,1
IRD-143,D2CGU1,1
IRD-143,O49146,1
IRD-143,Q4U5Z5,1
IRD-143,Q4ZIQ2,1
IRD-143,Q4ZIQ3,1
IRD-143,Q4ZIQ4,1
IRD-143,Q4ZIQ5,1
IRD-143,T1PZ63,1
IRD-143,T1PZF6,1
IRD-144,A0A2G2V3L7,1
IRD-145,D2CGT8,1
IRD-146,D2CGU0,1
IRD-147,T1PZ84,1
IRD-148,A0A097J9C0,1
IRD-149,T1PZJ7,1
IRD-15,A0A2G3A0X2,1
IRD-150,A0A1U7XTK4,1
IRD-151,M0ZZR6,1
IRD-152,A0A1U7WDA6,8
IRD-152,Q1WL44,2
IRD-152,Q1WL43,1
IRD-152,Q2XVY5,1
IRD-152,Q3SBE6,1
IRD-152,Q7M1P5,1
IRD-153,A0A1U7WDA6,1
IRD-153,Q1WL43,1
IRD-153,Q1WL44,1
IRD-153,Q2XVY5,1
IRD-153,Q3SBE6,1
IRD-153,Q40378,1
IRD-153,Q9SQ77,1
IRD-154,Q1WL31,1
IRD-154,Q1WL35,1
IRD-155,Q1WL31,1
IRD-155,Q1WL35,1
IRD-156,Q1WL31,1
IRD-156,Q1WL35,1
IRD-157,Q1WL31,1
IRD-157,Q1WL35,1
IRD-158,Q1WL31,1
IRD-158,Q1WL35,1
IRD-159,Q1WL31,1
IRD-159,Q1WL35,1
IRD-16,Q43652,1
IRD-160,Q9SDW7,1
IRD-160,Q9SDW8,1
IRD-161,Q9SDW8,2
IRD-162,Q9SDW7,1
IRD-162,Q9SDW8,1
IRD-163,Q9SDW7,1
IRD-163,Q9SDW8,1
IRD-164,Q9SDW7,1
IRD-164,Q9SDW8,1
IRD-165,Q5YLI5,2
IRD-165,A0A1J6J0L2,1
IRD-165,Q84LJ9,1
IRD-166,Q84LJ9,2
IRD-166,A0A1J6J0L2,1
IRD-166,Q5YLI5,1
IRD-167,Q84LJ9,1
IRD-168,Q5YLI5,1
IRD-168,Q84LJ9,1
IRD-169,A0A1J6J0L2,1
IRD-169,Q1WL39,1
IRD-169,Q5YLI5,1
IRD-169,Q84LJ9,1
IRD-17,I7AXR4,1
IRD-170,Q1WL36,1
IRD-171,Q1WL36,1
IRD-172,A0A1S4CNP7,2
IRD-172,A0A1S4CNR9,2
IRD-172,A0A1S4CPA1,2
IRD-172,Q1WL36,1
IRD-173,Q1WL36,1
IRD-174,A0A1U7Y2F0,1
IRD-175,A0A1U7Y2F0,1
IRD-176,A0A1U7Y2F0,2
IRD-176,Q1WL37,1
IRD-176,Q1WL38,1
IRD-176,Q6H238,1
IRD-177,A0A1U7Y2F0,1
IRD-178,A0A1U7Y2F0,1
IRD-179,Q1WL38,1
IRD-18,Q43710,1
IRD-180,Q1WL38,1
IRD-181,Q1WL38,1
IRD-182,Q1WL38,1
IRD-183,Q1WL38,1
IRD-184,A0A1S4CNP7,1
IRD-184,A0A1S4CNR9,1
IRD-184,A0A1S4CPA1,1
IRD-185,Q1WL29,1
IRD-185,Q1WL30,1
IRD-186,Q1WL29,1
IRD-186,Q1WL30,1
IRD-187,Q1WL29,1
IRD-188,Q1WL29,1
IRD-189,Q1WL30,2
IRD-189,Q1WL29,1
IRD-19,Q43710,1
IRD-190,Q1WL30,1
IRD-191,Q40378,1
IRD-192,Q40378,2
IRD-193,Q1WL39,1
IRD-194,Q1WL39,1
IRD-195,Q1WL39,1
IRD-196,Q1WL39,1
IRD-196,Q1WL40,1
IRD-197,Q1WL40,1
IRD-198,Q1WL40,1
IRD-199,A0A1U7XTK4,1
IRD-199,Q1WL40,1
IRD-2,E9JGT1,1
IRD-20,A0A3Q7FH27,1
IRD-20,A0A6N2ANB8,1
IRD-20,Q43502,1
IRD-200,Q1WL40,1
IRD-201,Q1WL43,1
IRD-202,Q2XVY5,1
IRD-203,A0A1S3YZT7,1
IRD-204,A0A1S3YZT7,1
IRD-205,A0A1S3YZT7,1
IRD-206,A0A1S4A0N1,1
IRD-206,B3F0C1,1
IRD-207,A0A1S4A0N1,1
IRD-207,B3F0C1,1
IRD-208,A0A1S4A0N1,1
IRD-209,A0A1S4A0N1,1
IRD-209,B3F0C1,1
IRD-21,A0A097H1D1,1
IRD-210,A0A1S4A0N1,1
IRD-210,B3F0C1,1
IRD-211,Q1WL46,1
IRD-211,Q1WL47,1
IRD-211,Q1WL49,1
IRD-211,Q1WL50,1
IRD-212,Q1WL49,1
IRD-213,Q1WL49,1
IRD-214,A0A1J6J0L2,1
IRD-215,Q1WL48,1
IRD-216,Q1WL48,1
IRD-217,Q1WL47,1
IRD-217,Q1WL48,1
IRD-218,Q1WL47,1
IRD-219,Q6H238,1
IRD-22,C0SKK6,1
IRD-220,Q6H238,1
IRD-221,Q1WL42,1
IRD-222,Q1WL42,1
IRD-223,Q1WL42,1
IRD-224,Q1WL42,1
IRD-225,Q1WL46,1
IRD-226,Q1WL46,1
IRD-227,Q1WL41,1
IRD-228,Q1WL41,1
IRD-229,Q9SQ77,1
IRD-23,A0A097H191,1
IRD-23,K7W5K0,1
IRD-230,Q1WL50,1
IRD-231,A0A2G3AT14,1
IRD-232,A0A097J9C9,1
IRD-232,A0A097J9D4,1
IRD-232,A0A097J9D5,1
IRD-232,A0A1U8FXN6,1
IRD-232,A0A2G2XU31,1
IRD-233,A0A097J9D8,1
IRD-234,A0A2G3AT01,1
IRD-236,Q84L56,1
IRD-237,A0A023UDB8,1
IRD-237,A0A097H1A1,1
IRD-237,J7EN94,1
IRD-238,J7EN93,1
IRD-239,A0A1X9QDN8,1
IRD-239,J7EQ45,1
IRD-24,A0A097H193,1
IRD-24,B0FZ75,1
IRD-240,A0A023UDB8,1
IRD-240,A0A097H1A1,1
IRD-240,J7EN94,1
IRD-240,P01079,1
IRD-241,Q9SDW7,1
IRD-241,Q9SDW8,1
IRD-242,A0A1S3YZT7,1
IRD-243,A0A1S3YZT7,1
IRD-244,Q1WL45,1
IRD-245,Q1WL45,1
IRD-246,Q1WL45,1
IRD-247,Q3S493,1
IRD-248,A0A1X9QDP2,1
IRD-248,J7EQ46,1
IRD-248,Q41489,1
IRD-249,A0A0V0HBN9,1
IRD-25,M1AJ81,1
IRD-25,M1AJ82,1
IRD-25,M1AJ83,1
IRD-250,Q41435,1
IRD-251,A0A1U7WDA6,1
IRD-252,Q1WL36,2
IRD-253,Q40378,1
IRD-253,Q9SQ77,1
IRD-254,Q1WL43,1
IRD-254,Q1WL44,1
IRD-254,Q2XVY5,1
IRD-255,Q1WL43,1
IRD-255,Q1WL44,1
IRD-255,Q2XVY5,1
IRD-255,Q3SBE6,1
IRD-256,A0A2G3AT14,1
IRD-257,Q1WL49,1
IRD-258,Q1WL48,1
IRD-259,Q1WL47,1
IRD-26,A0A0V0GNA2,1
IRD-260,Q1WL46,1
IRD-261,Q1WL50,1
IRD-262,Q1WL51,1
IRD-263,Q8W2K6,1
IRD-264,E9JGS8,1
IRD-265,A0A075EZT7,1
IRD-265,Q40561,1
IRD-266,A0A1U7XB93,1
IRD-267,A0A1J6JJ91,1
IRD-268,B3F0C1,1
IRD-269,Q1WL49,1
IRD-27,M1B8F9,1
IRD-270,Q1WL45,1
IRD-271,Q1WL41,1
IRD-272,Q6JKN9,1
IRD-273,A0A2G2V3L7,1
IRD-274,M1B8F9,1
IRD-275,A0A3Q7FH27,1
IRD-275,A0A6N2ANB8,1
IRD-276,Q43502,1
IRD-277,Q8W2K1,1
IRD-278,A0A0V0H1C2,1
IRD-278,M1D0E9,1
IRD-279,A0A1X9QDP7,1
IRD-28,A0A1U8GHX6,1
IRD-28,A0A2G3A0T9,1
IRD-280,A0A1U8GHX6,1
IRD-281,A0A2G2X8Q0,1
IRD-282,A0A2G3A0T9,1
IRD-283,A0A2G3AW51,1
IRD-284,A0A328EAU2,1
IRD-285,A0A3Q7FEJ3,1
IRD-285,A0A3Q7FH23,1
IRD-285,A0A6N2AQH0,1
IRD-286,M1B8F7,1
IRD-287,A0A2G3AW67,1
IRD-288,A0A2G2X8T6,1
IRD-289,A0A1U8FAF4,1
IRD-29,A0A2G2X8Q0,1
IRD-290,A0A3Q7FEJ3,1
IRD-291,A0A3Q7FH23,1
IRD-292,A0A075EZT7,1
IRD-292,A0A1U7XB93,1
IRD-292,Q40561,1
IRD-293,A0A1J6JJ91,1
IRD-294,A0A2G3AW40,1
IRD-295,A0A1U8GFH5,1
IRD-296,A0A2G3A0X2,1
IRD-297,A0A6N2BD76,1
IRD-297,M1C853,1
IRD-297,M1C854,1
IRD-298,M1C870,1
IRD-299,Q6JKN9,1
IRD-3,E9JGT0,1
IRD-3,E9JGT1,1
IRD-30,A0A2G3AW51,1
IRD-300,A0A022Q5A4,1
IRD-301,B9IQG0,1
IRD-302,A0A2C9U386,1
IRD-303,A0A2C9U1Z6,1
IRD-304,B9S759,1
IRD-306,A0A067L586,1
IRD-307,Q6NQ47,1
IRD-307,Q9C7G9,1
IRD-308,D7TGT1,1
IRD-309,A0A2I0AC47,1
IRD-31,M1DJV3,1
IRD-310,A0A398AAP9,1
IRD-310,M4CUW0,1
IRD-311,A0A0D3APY5,1
IRD-311,A0A3N6RQ47,1
IRD-311,A0A3P6DUN5,1
IRD-312,R0GJB3,1
IRD-313,A0A2N9F3Z0,1
IRD-314,D7KZ92,1
IRD-315,A0A1J3DYX7,1
IRD-315,A0A1J3G2U3,1
IRD-315,A0A1J3HRR4,1
IRD-315,A0A1J3ILC6,1
IRD-316,T1PZ84,1
IRD-317,A0A2G3AW67,1
IRD-318,A0A2G2X8T6,1
IRD-319,A0A2G3AT15,1
IRD-32,A0A3Q7FEJ3,1
IRD-32,A0A3Q7FH23,1
IRD-320,M1D3J7,1
IRD-321,A0A1S4DR24,1
IRD-322,A0A1S3Y6L6,1
IRD-323,A0A1U7XBN8,1
IRD-324,A0A314KX99,1
IRD-325,A0A251RIY1,1
IRD-325,A0A4Y1QVW4,1
IRD-325,A0A4Y1QW28,1
IRD-325,M5XRU0,1
IRD-327,A0A218XK76,1
IRD-329,A0A453A379,1
IRD-329,M7ZEF2,1
IRD-329,W5ADU4,1
IRD-33,M1B8F7,1
IRD-330,A0A2I0XG42,1
IRD-331,A0A3B5Z5G1,1
IRD-331,A0A446KEB4,1
IRD-332,A0A2S3HWR8,1
IRD-333,A0A287GT10,1
IRD-334,A0A1E5VFG3,1
IRD-335,A0A068UQV4,1
IRD-336,A0A199W8X6,1
IRD-337,A0A199UJF1,1
IRD-338,A0A2T7DPK9,1
IRD-338,A0A2T7DPN3,1
IRD-339,S8C5T1,1
IRD-34,A0A0V0GWC2,1
IRD-340,M0ZPU7,1
IRD-341,M0ZPU4,1
IRD-341,M0ZPU7,1
IRD-342,M0ZPU5,1
IRD-343,A0A2G2WK73,1
IRD-344,A0A1U8HFR9,1
IRD-344,A0A2G2ZAL9,1
IRD-344,A0A2G3C7I2,1
IRD-346,A0A1J6JY14,1
IRD-346,A0A1S3YL26,1
IRD-346,A0A1S3YTB5,1
IRD-346,A0A1U7YPZ0,1
IRD-347,A0A2G2WX27,1
IRD-347,A0A2G3CKE7,1
IRD-348,A0A1U8HFS2,1
IRD-348,A0A2G2WK87,1
IRD-348,A0A2G2ZAE0,1
IRD-349,A0A2G3C7G8,1
IRD-35,A0A2G3AT15,1
IRD-350,A0A2P6PET9,1
IRD-351,D8QVL0,1
IRD-352,D8QVP9,1
IRD-353,A0A2P6PEU3,1
IRD-354,A0A2G2WK98,1
IRD-354,A0A2G2ZB86,1
IRD-354,A0A2G3C8B9,1
IRD-355,A0A2P6PEV5,1
IRD-356,A0A059BUH3,1
IRD-357,A0A4Y1QW03,1
IRD-357,A0A6J5TTZ0,1
IRD-357,M5XPI6,1
IRD-358,A0A314Y0L5,1
IRD-359,A0A1S3XF39,1
IRD-36,A0A2G3AW67,1
IRD-360,A0A1J6KQH3,1
IRD-360,A0A1S3ZJX9,1
IRD-360,A0A1U7XKN6,1
IRD-361,A0A2G2WK91,1
IRD-361,A0A2G3C896,1
IRD-362,K4AKH4,1
IRD-363,A0A368SF18,1
IRD-363,A0A4U6SRV0,1
IRD-364,A0A2T7C1D4,1
IRD-364,A0A2T7C1D7,1
IRD-364,A0A3L6S7X6,1
IRD-365,A0A1U7VLC3,1
IRD-366,A0A068UQY4,1
IRD-367,A0A068VJU5,1
IRD-367,A0A6P6UNR4,1
IRD-368,A0A1S3X5H6,1
IRD-369,A0A2P6PET4,1
IRD-37,A0A2G2X8T6,1
IRD-370,S8C608,1
IRD-371,A0A166GCC0,1
IRD-372,A0A059PYZ4,1
IRD-373,C5WLW2,1
IRD-375,Q43710,2
IRD-376,Q43710,1
IRD-377,A0A1U8H7N7,1
IRD-377,A0A2G2WDG3,1
IRD-377,A0A2G2Z3H2,1
IRD-378,M1BKA8,1
IRD-378,M1BKA9,1
IRD-379,A0A3Q7HFS8,1
IRD-38,A0A1S3Z2Q3,1
IRD-380,K7X8A9,1
IRD-381,I3S093,1
IRD-382,A0A0E0KIP4,1
IRD-383,A0A072UHW5,1
IRD-384,A0A0E0D682,1
IRD-385,A0A0D9VYN1,1
IRD-386,J3LSK1,1
IRD-387,A0A0D3FNQ1,1
IRD-387,A0A0D9ZCR1,1
IRD-387,A0A0E0GTG1,1
IRD-387,A0A0E0P0X3,1
IRD-387,A2XLR0,1
IRD-387,A3AMF1,1
IRD-387,I1PF65,1
IRD-387,Q6AVT6,1
IRD-388,A0A0D9VYN2,1
IRD-389,A0A2P6PEW5,1
IRD-39,A0A1U7VHX6,1
IRD-390,B6SSS5,1
IRD-391,A3FMA3,1
IRD-392,A0A1E5UMZ8,1
IRD-393,A0A0K9S2T0,1
IRD-394,A0A1B6Q2N4,1
IRD-395,A0A1E5UNA0,1
IRD-396,C5XFQ3,1
IRD-397,I1HDV9,1
IRD-398,A0A1S2Z6Q3,1
IRD-399,A0A371H7D0,1
IRD-4,Q7M222,1
IRD-40,A0A3Q7FEG3,1
IRD-400,A0A3B6GR13,1
IRD-400,A0A453ELF2,1
IRD-400,R7WBW6,1
IRD-401,A0A1S4A0N1,1
IRD-401,B3F0C1,1
IRD-402,A0A1S3Z2Q3,1
IRD-403,M1AJ80,1
IRD-404,T1PZB7,1
IRD-405,I3QHE9,1
IRD-405,I3QHF0,1
IRD-405,P05119,1
IRD-405,Q6H3X6,1
IRD-406,I6Q7H6,1
IRD-407,I3QHF1,1
IRD-408,Q8W2K6,1
IRD-409,E9JGS8,1
IRD-41,A0A075EZT7,1
IRD-41,A0A1U7XB93,1
IRD-41,Q40561,1
IRD-410,A0A2G2V3L6,1
IRD-411,M1B8F8,1
IRD-412,A0A097J9C9,1
IRD-412,A0A097J9D4,1
IRD-412,A0A097J9D5,1
IRD-412,A0A097J9D8,1
IRD-412,A0A1U8FXN6,1
IRD-412,A0A2G2XU31,1
IRD-412,A0A2G3AT01,1
IRD-413,M0ZZR6,1
IRD-414,A0A2G3AW40,1
IRD-415,A0A1U8GFH5,1
IRD-416,A0A2G3A0X2,1
IRD-417,Q3S493,1
IRD-418,A0A3Q7FH27,1
IRD-418,Q43502,1
IRD-419,A0A075EZT7,1
IRD-419,A0A1U7XB93,1
IRD-419,Q40561,1
IRD-42,A0A1J6JJ91,1
IRD-420,A0A1J6JJ91,1
IRD-421,A0A2G3AW67,1
IRD-422,A0A2G2X8T6,1
IRD-424,A0A3Q7FH03,1
IRD-425,M1DJV3,1
IRD-426,A0A0V0GWC2,1
IRD-427,A0A075EZT7,1
IRD-427,Q40561,1
IRD-428,A0A1J6JJ91,1
IRD-428,A0A1U7XB93,1
IRD-429,M1B8F7,1
IRD-43,A0A1U8GFH5,1
IRD-43,A0A2G3A0X2,1
IRD-43,A0A2G3AW40,1
IRD-430,M1B8F9,1
IRD-431,A0A3Q7FEG3,1
IRD-432,A0A3Q7FEG3,1
IRD-433,M1DJV3,1
IRD-434,A0A0V0GWC2,1
IRD-435,A0A1S3Z2Q3,1
IRD-435,A0A1U7VHX6,1
IRD-436,Q8W2K1,1
IRD-437,A0A0V0H1C2,1
IRD-437,M1D0E9,1
IRD-438,A0A2G3C875,1
IRD-439,A0A328DK31,1
IRD-44,A0A2G3AW67,1
IRD-440,Q9SDW7,1
IRD-440,Q9SDW8,1
IRD-441,Q1WL45,1
IRD-442,M1B8F8,1
IRD-443,Q3S493,1
IRD-444,A0A2G3A0S4,1
IRD-444,A0A2G3AT14,1
IRD-444,O49146,1
IRD-444,Q4U5Z5,1
IRD-444,Q4ZIQ3,1
IRD-444,Q4ZIQ5,1
IRD-444,T1PZ63,1
IRD-444,T1PZF6,1
IRD-445,Q4ZIQ4,1
IRD-446,Q4ZIQ2,1
IRD-447,T1PZB0,1
IRD-448,D2CGT8,1
IRD-449,Q1WL47,1
IRD-449,Q1WL49,1
IRD-449,Q1WL50,1
IRD-45,A0A2G2X8T6,1
IRD-450,Q1WL48,1
IRD-451,A0A097J9C9,1
IRD-451,A0A097J9D4,1
IRD-451,A0A097J9D5,1
IRD-451,A0A097J9D8,1
IRD-451,A0A1U8FXN6,1
IRD-451,A0A2G2V3L6,1
IRD-451,A0A2G2XU31,1
IRD-452,A0A3Q7FEJ3,1
IRD-452,A0A6N2AQH0,1
IRD-453,A0A3Q7FH23,1
IRD-454,M1B8F7,1
IRD-455,Q32YL3,1
IRD-455,Q6JKN9,1
IRD-455,Q8W2K1,1
IRD-456,A0A6N2ASC2,1
IRD-456,I3QHF0,1
IRD-456,P05119,1
IRD-456,Q6H3X6,1
IRD-457,Q8W2K6,1
IRD-458,E9JGS8,1
IRD-459,I3QHF1,1
IRD-459,I6Q7H6,1
IRD-46,Q00782,1
IRD-460,Q2TU74,1
IRD-460,Q8W2K6,1
IRD-461,A0A2G3AW63,1
IRD-462,Q1WL45,1
IRD-463,A0A2G2V3L7,1
IRD-464,M0ZZR6,1
IRD-464,Q00782,1
IRD-465,J7EQ14,1
IRD-465,O82735,1
IRD-466,Q3S483,1
IRD-466,Q3S485,1
IRD-467,A0A023UDB8,1
IRD-467,A0A097H1A1,1
IRD-467,A0A097H1D6,1
IRD-467,A0A0V0GZD4,1
IRD-467,A0A1X9QDN7,1
IRD-467,J7EN93,1
IRD-467,J7EN94,1
IRD-467,J7ENS8,1
IRD-467,J7EQ13,1
IRD-467,Q41488,1
IRD-467,Q84L56,1
IRD-468,A0A1X9QDP7,1
IRD-469,M1B8F8,1
IRD-47,A0A3Q7IU74,1
IRD-470,A0A3Q7FH27,1
IRD-470,M1B8F9,1
IRD-471,Q43502,1
IRD-472,A0A1U8GHX6,1
IRD-472,A0A2G3AW51,1
IRD-473,A0A2G2X8Q0,1
IRD-474,A0A2G3A0T9,1
IRD-475,A0A0V0H1C2,1
IRD-475,M1D0E9,1
IRD-476,M1DJV3,1
IRD-477,A0A2G2V3L7,1
IRD-478,P01080,1
IRD-479,T1PZB1,1
IRD-48,T1PZ88,1
IRD-480,A0A1U7XTK4,1
IRD-481,M0ZZR6,1
IRD-482,A0A1U8GHX6,1
IRD-483,A0A6N2AW41,1
IRD-483,Q7M222,1
IRD-484,Q00782,1
IRD-485,A0A097H1D6,1
IRD-485,Q41488,1
IRD-487,Q84L56,1
IRD-488,A0A097H1A1,1
IRD-488,A0A1X9QDN8,1
IRD-488,J7EQ45,1
IRD-489,A0A023UDB8,1
IRD-489,J7EN94,1
IRD-49,Q9M514,1
IRD-490,J7EN93,1
IRD-491,A0A1U8FJ97,1
IRD-491,P83241,1
IRD-492,Q1WL45,1
IRD-493,A0A3Q7FEG3,1
IRD-494,J7EQ14,1
IRD-494,O82735,1
IRD-495,Q3S483,1
IRD-495,Q3S485,1
IRD-496,A0A0V0GZD4,1
IRD-496,A0A1X9QDN7,1
IRD-496,J7EQ13,1
IRD-496,P01080,1
IRD-497,Q43652,1
IRD-498,A0A0V0HBN9,1
IRD-499,Q41435,1
IRD-499,Q41489,1
IRD-5,A0A1S4BIG0,1
IRD-50,A0A1U8GHX6,1
IRD-500,A0A1X9QDP2,1
IRD-500,J7EQ46,1
IRD-501,A0A1S3YZT7,1
IRD-502,A0A2G3A0T9,1
IRD-503,A0A2G3AW51,1
IRD-504,M1B8F9,1
IRD-505,A0A3Q7FH27,1
IRD-505,A0A6N2ANB8,1
IRD-505,Q43502,1
IRD-506,A0A2G2X8Q0,1
IRD-507,A0A3Q7FH03,1
IRD-508,Q6H238,2
IRD-509,Q1WL48,1
IRD-51,P01078,1
IRD-510,Q1WL42,1
IRD-511,A0A3Q7IU74,1
IRD-512,A0A3Q7IU74,1
IRD-513,A0A2G3AT14,1
IRD-514,A0A1S3Z2Q3,1
IRD-515,E9JGT1,1
IRD-516,E9JGT0,1
IRD-516,E9JGT1,1
IRD-517,A0A2G2V3L6,1
IRD-518,A0A2G2XU31,1
IRD-518,A0A2G3AT01,1
IRD-519,A0A097J9C9,1
IRD-519,A0A097J9D4,1
IRD-519,A0A097J9D5,1
IRD-519,A0A1U8FXN6,1
IRD-52,A0A097H1D6,1
IRD-52,Q41488,1
IRD-520,A0A097J9D8,1
IRD-521,A0A097J9D3,1
IRD-522,A0A1U7VHX6,1
IRD-523,A0A1S4BIG0,1
IRD-524,A0A6N2AW41,1
IRD-524,Q7M222,1
IRD-525,M1AJ80,1
IRD-526,E9JGT0,1
IRD-527,A0A3Q7IU74,1
IRD-528,A0A2G3A0U2,1
IRD-529,A0A1S3Z2Q3,1
IRD-529,A0A1U7VHX6,1
IRD-53,M1B8F8,1
IRD-530,A0A1S4BIG0,1
IRD-531,A0A1S4A0N1,1
IRD-531,B3F0C1,1
IRD-532,A0A1S3YZT7,1
IRD-533,Q1WL40,1
IRD-534,A0A2G3A0S4,1
IRD-535,Q1WL41,1
IRD-535,Q1WL42,1
IRD-536,A0A097J9B6,1
IRD-536,A0A097J9C0,1
IRD-536,A0A097J9C5,1
IRD-536,A0A1U8G7B9,1
IRD-536,A0A2G3A0U2,1
IRD-536,D2CGT4,1
IRD-536,D2CGT5,1
IRD-536,D2CGT7,1
IRD-536,D2CH22,1
IRD-536,Q4U5Z4,1
IRD-536,Q4Z8K2,1
IRD-536,T1PZ64,1
IRD-536,T1PZ73,1
IRD-536,T1PZ76,1
IRD-536,T1PZ78,1
IRD-536,T1PZ85,1
IRD-536,T1PZ86,1
IRD-536,T1PZ89,1
IRD-536,T1PZ91,1
IRD-536,T1PZB2,1
IRD-536,T1PZB3,1
IRD-536,T1PZB4,1
IRD-536,T1PZB7,1
IRD-536,T1PZF0,1
IRD-536,T1PZK7,1
IRD-537,T1PZ64,1
IRD-538,A0A2G2V3L7,1
IRD-539,Q4ZIQ3,1
IRD-539,T1PZF5,1
IRD-54,P84813,1
IRD-540,Q4U5Z5,1
IRD-540,Q4ZIQ2,1
IRD-540,Q4ZIQ4,1
IRD-540,Q4ZIQ5,1
IRD-541,T1PZ68,1
IRD-541,T1PZ72,1
IRD-541,T1PZ75,1
IRD-541,T1PZ85,1
IRD-541,T1PZ89,1
IRD-541,T1PZ90,1
IRD-541,T1PZB5,1
IRD-541,T1PZB6,1
IRD-541,T1PZF2,1
IRD-541,T1PZF7,1
IRD-541,T1PZF8,1
IRD-541,T1PZJ7,1
IRD-542,A0A2G3AW63,1
IRD-543,A0A2G3AW63,1
IRD-544,T1PZF6,1
IRD-545,T1PZL0,1
IRD-546,T1PZF9,1
IRD-547,T1PZ65,1
IRD-548,T1PZK2,1
IRD-549,T1PZK4,1
IRD-55,A0A3Q7FEG3,1
IRD-550,Q9SDL4,1
IRD-551,A0A2G3A0S4,3
IRD-551,A0A2G3AT14,1
IRD-551,O49146,1
IRD-551,Q4U5Z5,1
IRD-551,Q4ZIQ2,1
IRD-551,Q4ZIQ4,1
IRD-551,Q4ZIQ5,1
IRD-551,T1PZB2,1
