Organism,DomainID
Nicotiana tabacum (Common tobacco),IRD-204
Nicotiana tabacum (Common tobacco),IRD-205
Nicotiana tabacum (Common tobacco),IRD-206
Nicotiana tabacum (Common tobacco),IRD-207
Nicotiana tabacum (Common tobacco),IRD-208
Nicotiana tabacum (Common tobacco),IRD-209
Nicotiana tabacum (Common tobacco),IRD-210
Nicotiana benthamiana,IRD-211
Nicotiana umbratica,IRD-211
Nicotiana simulans,IRD-211
Nicotiana occidentalis subsp. hesperis,IRD-211
Nicotiana occidentalis subsp. hesperis,IRD-212
Nicotiana occidentalis subsp. hesperis,IRD-213
Nicotiana attenuata (Coyote tobacco),IRD-214
Nicotiana megalosiphon,IRD-215
Nicotiana megalosiphon,IRD-216
Nicotiana simulans,IRD-217
Nicotiana megalosiphon,IRD-217
Nicotiana simulans,IRD-218
Nicotiana linearis,IRD-221
Nicotiana linearis,IRD-222
Nicotiana linearis,IRD-223
Nicotiana linearis,IRD-224
Nicotiana umbratica,IRD-225
Nicotiana umbratica,IRD-226
Nicotiana spegazzinii,IRD-227
Nicotiana spegazzinii,IRD-228
Nicotiana benthamiana,IRD-230
Capsicum annuum (Bell pepper),IRD-232
Capsicum annuum (Bell pepper),IRD-233
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-235
Solanum phureja,IRD-236
Solanum tuberosum (Potato),IRD-237
Solanum tuberosum (Potato),IRD-239
Solanum tuberosum (Potato),IRD-240
Nicotiana tabacum (Common tobacco),IRD-242
Nicotiana tabacum (Common tobacco),IRD-243
Nicotiana repanda,IRD-244
Nicotiana repanda,IRD-245
Nicotiana repanda,IRD-246
Solanum tuberosum (Potato),IRD-247
Solanum tuberosum (Potato),IRD-248
Solanum tuberosum (Potato),IRD-250
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-251
Nicotiana rustica (Aztec tobacco),IRD-252
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-253
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-254
Nicotiana tabacum (Common tobacco),IRD-254
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-255
Nicotiana tabacum (Common tobacco),IRD-255
Nicotiana occidentalis subsp. hesperis,IRD-257
Nicotiana megalosiphon,IRD-258
Nicotiana simulans,IRD-259
Nicotiana umbratica,IRD-260
Nicotiana benthamiana,IRD-261
Nicotiana cavicola,IRD-262
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-263
Solanum nigrum (Black nightshade),IRD-264
Nicotiana tabacum (Common tobacco),IRD-265
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-266
Nicotiana attenuata (Coyote tobacco),IRD-267
Nicotiana tabacum (Common tobacco),IRD-268
Nicotiana occidentalis subsp. hesperis,IRD-269
Nicotiana repanda,IRD-270
Nicotiana spegazzinii,IRD-271
Solanum nigrum (Black nightshade),IRD-272
Solanum tuberosum (Potato),IRD-274
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-275
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-276
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-277
Solanum tuberosum (Potato),IRD-278
Capsicum annuum (Bell pepper),IRD-280
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-283
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-285
Solanum tuberosum (Potato),IRD-286
Capsicum annuum (Bell pepper),IRD-289
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-290
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-291
Nicotiana tabacum (Common tobacco),IRD-292
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-292
Nicotiana attenuata (Coyote tobacco),IRD-293
Capsicum annuum (Bell pepper),IRD-295
Solanum tuberosum (Potato),IRD-297
Solanum tuberosum (Potato),IRD-298
Solanum nigrum (Black nightshade),IRD-299
Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),IRD-301
Manihot esculenta (Cassava) (Jatropha manihot),IRD-302
Manihot esculenta (Cassava) (Jatropha manihot),IRD-303
Ricinus communis (Castor bean),IRD-304
Jatropha curcas (Barbados nut),IRD-306
Arabidopsis thaliana (Mouse-ear cress),IRD-307
Vitis vinifera (Grape),IRD-308
Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis),IRD-310
Brassica oleracea var. oleracea,IRD-311
Capsella rubella,IRD-312
Fagus sylvatica (Beechnut),IRD-313
Arabidopsis lyrata subsp. lyrata (Lyre-leaved rock-cress),IRD-314
Noccaea caerulescens (Alpine penny-cress) (Thlaspi caerulescens),IRD-315
Solanum tuberosum (Potato),IRD-320
Nicotiana tabacum (Common tobacco),IRD-321
Nicotiana tabacum (Common tobacco),IRD-322
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-323
Nicotiana attenuata (Coyote tobacco),IRD-324
Prunus persica (Peach) (Amygdalus persica),IRD-325
Triticum urartu (Red wild einkorn) (Crithodium urartu),IRD-329
Ananas comosus (Pineapple) (Ananas ananas),IRD-336
Solanum tuberosum (Potato),IRD-340
Solanum tuberosum (Potato),IRD-341
Solanum tuberosum (Potato),IRD-342
Capsicum annuum (Bell pepper),IRD-344
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-345
Nicotiana tabacum (Common tobacco),IRD-346
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-346
Nicotiana attenuata (Coyote tobacco),IRD-346
Capsicum annuum (Bell pepper),IRD-348
Selaginella moellendorffii (Spikemoss),IRD-351
Selaginella moellendorffii (Spikemoss),IRD-352
Prunus persica (Peach) (Amygdalus persica),IRD-357
Nicotiana tabacum (Common tobacco),IRD-359
Nicotiana attenuata (Coyote tobacco),IRD-360
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-360
Nicotiana tabacum (Common tobacco),IRD-360
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-361
Nicotiana tabacum (Common tobacco),IRD-368
Saccharum hybrid cultivar R570,IRD-372
Sorghum bicolor (Sorghum) (Sorghum vulgare),IRD-373
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-375
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-376
Capsicum annuum (Bell pepper),IRD-377
Solanum tuberosum (Potato),IRD-378
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-379
Medicago truncatula (Barrel medic) (Medicago tribuloides),IRD-381
Oryza punctata (Red rice),IRD-382
Medicago truncatula (Barrel medic) (Medicago tribuloides),IRD-383
Oryza sativa subsp. japonica (Rice),IRD-387
Oryza sativa subsp. indica (Rice),IRD-387
Oryza glaberrima (African rice),IRD-387
Oryza nivara (Indian wild rice) (Oryza sativa f. spontanea),IRD-387
Oryza rufipogon (Brownbeard rice) (Asian wild rice),IRD-387
Oryza barthii,IRD-387
Oryza glumipatula,IRD-387
Zea mays (Maize),IRD-390
Zea mays (Maize),IRD-391
Sorghum bicolor (Sorghum) (Sorghum vulgare),IRD-394
Sorghum bicolor (Sorghum) (Sorghum vulgare),IRD-396
Brachypodium distachyon (Purple false brome) (Trachynia distachya),IRD-397
Cicer arietinum (Chickpea) (Garbanzo),IRD-398
Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa),IRD-400
Nicotiana tabacum (Common tobacco),IRD-401
Nicotiana tabacum (Common tobacco),IRD-402
Solanum tuberosum (Potato),IRD-403
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-405
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-407
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-408
Solanum nigrum (Black nightshade),IRD-409
Solanum tuberosum (Potato),IRD-411
Capsicum annuum (Bell pepper),IRD-412
Solanum tuberosum (Potato),IRD-413
Capsicum annuum (Bell pepper),IRD-415
Solanum tuberosum (Potato),IRD-417
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-418
Nicotiana tabacum (Common tobacco),IRD-419
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-419
Nicotiana attenuata (Coyote tobacco),IRD-420
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-423
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-424
Nicotiana tabacum (Common tobacco),IRD-427
Nicotiana attenuata (Coyote tobacco),IRD-428
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-428
Solanum tuberosum (Potato),IRD-429
Solanum tuberosum (Potato),IRD-430
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-431
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-432
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-435
Nicotiana tabacum (Common tobacco),IRD-435
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-436
Solanum tuberosum (Potato),IRD-437
Nicotiana repanda,IRD-441
Solanum tuberosum (Potato),IRD-442
Solanum tuberosum (Potato),IRD-443
Capsicum annuum (Bell pepper),IRD-444
Capsicum annuum (Bell pepper),IRD-445
Capsicum annuum (Bell pepper),IRD-446
Nicotiana benthamiana,IRD-449
Nicotiana simulans,IRD-449
Nicotiana occidentalis subsp. hesperis,IRD-449
Nicotiana megalosiphon,IRD-450
Capsicum annuum (Bell pepper),IRD-451
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-452
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-453
Solanum tuberosum (Potato),IRD-454
Solanum nigrum (Black nightshade),IRD-455
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-455
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-456
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-457
Solanum nigrum (Black nightshade),IRD-458
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-459
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-460
Nicotiana repanda,IRD-462
Solanum tuberosum (Potato),IRD-464
Solanum tuberosum (Potato),IRD-466
Solanum tuberosum (Potato),IRD-467
Solanum phureja,IRD-467
Solanum tuberosum (Potato),IRD-469
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-470
Solanum tuberosum (Potato),IRD-470
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-471
Capsicum annuum (Bell pepper),IRD-472
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-472
Solanum tuberosum (Potato),IRD-475
Solanum tuberosum (Potato),IRD-478
Solanum tuberosum (Potato),IRD-481
Capsicum annuum (Bell pepper),IRD-482
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-483
Solanum tuberosum (Potato),IRD-484
Solanum tuberosum (Potato),IRD-485
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-486
Solanum phureja,IRD-487
Solanum tuberosum (Potato),IRD-488
Solanum tuberosum (Potato),IRD-489
Capsicum annuum (Bell pepper),IRD-491
Nicotiana repanda,IRD-492
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-493
Solanum tuberosum (Potato),IRD-495
Solanum tuberosum (Potato),IRD-496
Solanum tuberosum (Potato),IRD-497
Solanum tuberosum (Potato),IRD-499
Solanum tuberosum (Potato),IRD-500
Nicotiana tabacum (Common tobacco),IRD-501
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-503
Solanum tuberosum (Potato),IRD-504
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-505
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-507
Nicotiana megalosiphon,IRD-509
Nicotiana linearis,IRD-510
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-511
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-512
Nicotiana tabacum (Common tobacco),IRD-514
Solanum nigrum (Black nightshade),IRD-516
Capsicum annuum (Bell pepper),IRD-519
Capsicum annuum (Bell pepper),IRD-520
Capsicum annuum (Bell pepper),IRD-521
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-522
Nicotiana tabacum (Common tobacco),IRD-523
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-524
Solanum tuberosum (Potato),IRD-525
Solanum nigrum (Black nightshade),IRD-526
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-527
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-529
Nicotiana tabacum (Common tobacco),IRD-529
Nicotiana tabacum (Common tobacco),IRD-530
Nicotiana tabacum (Common tobacco),IRD-531
Nicotiana tabacum (Common tobacco),IRD-532
Nicotiana miersii,IRD-533
Nicotiana linearis,IRD-535
Nicotiana spegazzinii,IRD-535
Capsicum annuum (Bell pepper),IRD-536
Capsicum annuum (Bell pepper),IRD-539
Capsicum annuum (Bell pepper),IRD-540
Capsicum annuum (Bell pepper),IRD-550
Capsicum annuum (Bell pepper),IRD-551
Capsicum annuum (Bell pepper),IRD-559
Capsicum annuum (Bell pepper),IRD-560
Capsicum annuum (Bell pepper),IRD-563
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-565
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-566
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-567
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-568
Nicotiana acuminata (Acuminate tobacco),IRD-569
Nicotiana acuminata (Acuminate tobacco),IRD-570
Nicotiana acuminata (Acuminate tobacco),IRD-571
Nicotiana acuminata (Acuminate tobacco),IRD-572
Nicotiana tabacum (Common tobacco),IRD-573
Nicotiana clevelandii (Wild tobacco),IRD-574
Nicotiana quadrivalvis,IRD-575
Nicotiana corymbosa,IRD-577
Nicotiana tabacum (Common tobacco),IRD-578
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-582
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-583
Nicotiana acuminata (Acuminate tobacco),IRD-584
Nicotiana acuminata (Acuminate tobacco),IRD-585
Nicotiana tabacum (Common tobacco),IRD-586
Nicotiana linearis,IRD-589
Nicotiana spegazzinii,IRD-590
Nicotiana obtusifolia,IRD-591
Nicotiana obtusifolia,IRD-592
Nicotiana obtusifolia,IRD-593
Nicotiana rustica (Aztec tobacco),IRD-594
Nicotiana tabacum (Common tobacco),IRD-595
Nicotiana tabacum (Common tobacco),IRD-596
Nicotiana tabacum (Common tobacco),IRD-597
Nicotiana tabacum (Common tobacco),IRD-598
Nicotiana tabacum (Common tobacco),IRD-599
Nicotiana clevelandii (Wild tobacco),IRD-600
Nicotiana quadrivalvis,IRD-600
Nicotiana tabacum (Common tobacco),IRD-601
Nicotiana tabacum (Common tobacco),IRD-602
Nicotiana tabacum (Common tobacco),IRD-603
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-604
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-605
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-606
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-606
Nicotiana tabacum (Common tobacco),IRD-606
Nicotiana quadrivalvis,IRD-607
Nicotiana obtusifolia,IRD-607
Nicotiana obtusifolia,IRD-608
Nicotiana obtusifolia,IRD-609
Nicotiana rustica (Aztec tobacco),IRD-613
Nicotiana rustica (Aztec tobacco),IRD-614
Nicotiana attenuata (Coyote tobacco),IRD-615
Nicotiana attenuata (Coyote tobacco),IRD-616
Nicotiana attenuata (Coyote tobacco),IRD-617
Nicotiana attenuata (Coyote tobacco),IRD-618
Nicotiana attenuata (Coyote tobacco),IRD-619
Nicotiana pauciflora,IRD-619
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-620
Nicotiana tabacum (Common tobacco),IRD-621
Nicotiana tabacum (Common tobacco),IRD-622
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-623
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-624
Nicotiana tabacum (Common tobacco),IRD-625
Nicotiana tabacum (Common tobacco),IRD-626
Nicotiana tabacum (Common tobacco),IRD-627
Nicotiana tabacum (Common tobacco),IRD-628
Nicotiana pauciflora,IRD-629
Nicotiana pauciflora,IRD-630
Nicotiana pauciflora,IRD-631
Nicotiana tabacum (Common tobacco),IRD-632
Nicotiana miersii,IRD-633
Nicotiana miersii,IRD-634
Nicotiana miersii,IRD-635
Nicotiana clevelandii (Wild tobacco),IRD-636
Nicotiana clevelandii (Wild tobacco),IRD-637
Nicotiana quadrivalvis,IRD-637
Nicotiana clevelandii (Wild tobacco),IRD-638
Nicotiana quadrivalvis,IRD-638
Nicotiana occidentalis subsp. hesperis,IRD-639
Nicotiana benthamiana,IRD-640
Nicotiana occidentalis subsp. hesperis,IRD-640
Nicotiana occidentalis subsp. hesperis,IRD-641
Nicotiana repanda,IRD-642
Nicotiana megalosiphon,IRD-643
Nicotiana simulans,IRD-644
Nicotiana megalosiphon,IRD-644
Nicotiana umbratica,IRD-645
Nicotiana umbratica,IRD-646
Nicotiana umbratica,IRD-647
Nicotiana simulans,IRD-648
Nicotiana simulans,IRD-649
Nicotiana linearis,IRD-650
Nicotiana linearis,IRD-651
Nicotiana spegazzinii,IRD-651
Nicotiana spegazzinii,IRD-652
Nicotiana benthamiana,IRD-654
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-655
Nicotiana tabacum (Common tobacco),IRD-655
Nicotiana repanda,IRD-657
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-658
Nicotiana tabacum (Common tobacco),IRD-658
Nicotiana rustica (Aztec tobacco),IRD-659
Nicotiana rustica (Aztec tobacco),IRD-660
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-661
Nicotiana occidentalis subsp. hesperis,IRD-662
Nicotiana umbratica,IRD-663
Nicotiana cavicola,IRD-664
Nicotiana obtusifolia,IRD-665
Nicotiana corymbosa,IRD-666
Nicotiana acuminata (Acuminate tobacco),IRD-666
Nicotiana pauciflora,IRD-667
Nicotiana miersii,IRD-668
Nicotiana benthamiana,IRD-669
Nicotiana umbratica,IRD-669
Nicotiana megalosiphon,IRD-669
Nicotiana simulans,IRD-670
Nicotiana cavicola,IRD-671
Nicotiana occidentalis subsp. hesperis,IRD-672
Nicotiana repanda,IRD-673
Nicotiana spegazzinii,IRD-674
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-675
Handroanthus impetiginosus,IRD-679
Selaginella moellendorffii (Spikemoss),IRD-682
Selaginella moellendorffii (Spikemoss),IRD-683
Selaginella moellendorffii (Spikemoss),IRD-684
Selaginella moellendorffii (Spikemoss),IRD-686
Solanum tuberosum (Potato),IRD-689
Solanum tuberosum (Potato),IRD-690
Capsicum annuum (Bell pepper),IRD-692
Selaginella moellendorffii (Spikemoss),IRD-694
Selaginella moellendorffii (Spikemoss),IRD-695
Selaginella moellendorffii (Spikemoss),IRD-696
Selaginella moellendorffii (Spikemoss),IRD-697
Solanum nigrum (Black nightshade),IRD-2
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-10
Capsicum annuum (Bell pepper),IRD-10
Capsicum baccatum (Peruvian pepper),IRD-11
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-14
Capsicum annuum (Bell pepper),IRD-15
Olea europaea (Common olive),IRD-17
Solanum tuberosum (Potato),IRD-22
Solanum chacoense (Chaco potato),IRD-26
Capsicum baccatum (Peruvian pepper),IRD-29
Solanum tuberosum (Potato),IRD-31
Solanum chacoense (Chaco potato),IRD-34
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-35
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-36
Capsicum baccatum (Peruvian pepper),IRD-37
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-43
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-44
Capsicum baccatum (Peruvian pepper),IRD-45
Capsicum annuum (Bell pepper),IRD-48
Capsicum annuum (Bell pepper),IRD-49
Solanum chacoense (Chaco potato),IRD-58
Capsicum annuum (Bell pepper),IRD-60
Solanum tuberosum (Potato),IRD-64
Solanum tuberosum (Potato),IRD-66
Capsicum annuum (Bell pepper),IRD-67
Capsicum baccatum (Peruvian pepper),IRD-72
Nicotiana attenuata (Coyote tobacco),IRD-79
Nicotiana attenuata (Coyote tobacco),IRD-80
Capsicum annuum (Bell pepper),IRD-82
Capsicum baccatum (Peruvian pepper),IRD-83
Capsicum annuum (Bell pepper),IRD-85
Capsicum annuum (Bell pepper),IRD-86
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-87
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-88
Capsicum annuum (Bell pepper),IRD-89
Capsicum annuum (Bell pepper),IRD-91
Capsicum annuum (Bell pepper),IRD-92
Capsicum baccatum (Peruvian pepper),IRD-93
Capsicum annuum (Bell pepper),IRD-94
Capsicum annuum (Bell pepper),IRD-95
Capsicum annuum (Bell pepper),IRD-96
Capsicum annuum (Bell pepper),IRD-97
Capsicum annuum (Bell pepper),IRD-98
Capsicum annuum (Bell pepper),IRD-99
Capsicum annuum (Bell pepper),IRD-100
Capsicum annuum (Bell pepper),IRD-101
Capsicum annuum (Bell pepper),IRD-102
Capsicum annuum (Bell pepper),IRD-103
Capsicum annuum (Bell pepper),IRD-104
Capsicum annuum (Bell pepper),IRD-107
Capsicum annuum (Bell pepper),IRD-108
Capsicum annuum (Bell pepper),IRD-109
Capsicum annuum (Bell pepper),IRD-110
Capsicum annuum (Bell pepper),IRD-111
