ID,OrganismID,Organism,Solanaceae,n-domains,NumberOfSequences
101,2094558,Prunus yedoensis var. nudiflora,0,1,1
102,22663,Punica granatum (Pomegranate),0,1,1
103,58331,Quercus suber (Cork oak),0,1,4
104,3988,Ricinus communis (Castor bean),0,1,1
105,74649,Rosa chinensis (China rose),0,1,5
106,131158,Saccharum hybrid cultivar R570,0,1,2
107,88036,Selaginella moellendorffii (Spikemoss),0,2,4
108,88036,Selaginella moellendorffii (Spikemoss),0,1,3
109,4555,Setaria italica (Foxtail millet) (Panicum italicum),0,1,2
110,109975,Solanum americanum (American black nightshade) (Solanum nodiflorum),1,1,2
111,109975,Solanum americanum (American black nightshade) (Solanum nodiflorum),1,3,1
112,109975,Solanum americanum (American black nightshade) (Solanum nodiflorum),1,4,1
113,4108,Solanum chacoense (Chaco potato),1,3,3
114,4108,Solanum chacoense (Chaco potato),1,2,2
118,4081,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),1,6,1
117,4081,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),1,1,3
115,4081,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),1,3,8
116,4081,Solanum lycopersicum (Tomato) (Lycopersicon esculentum),1,5,6
119,4111,Solanum melongena (Eggplant) (Aubergine),1,1,1
120,4112,Solanum nigrum (Black nightshade),1,3,3
121,4112,Solanum nigrum (Black nightshade),1,4,1
122,172790,Solanum phureja,1,3,1
125,4113,Solanum tuberosum (Potato),1,1,12
123,4113,Solanum tuberosum (Potato),1,2,16
124,4113,Solanum tuberosum (Potato),1,3,15
126,4113,Solanum tuberosum (Potato),1,5,5
127,4113,Solanum tuberosum (Potato),1,4,4
128,4558,Sorghum bicolor (Sorghum) (Sorghum vulgare),0,1,3
129,3562,Spinacia oleracea (Spinach),0,1,1
130,4565,Triticum aestivum (Wheat),0,1,1
131,4572,Triticum urartu (Red wild einkorn) (Crithodium urartu),0,1,1
132,29760,Vitis vinifera (Grape),0,1,1
133,4577,Zea mays (Maize),0,1,2
